Genes	E14tg2a-72h 1A	E14tg2a-72h 1B	E14tg2a-72h 1C	E14tg2a-72h 1D	E14tg2a-72h 1E	E14tg2a-72h 1F	E14tg2a-72h 1G	E14tg2a-72h 1H	E14tg2a-72h 2A	E14tg2a-72h 2B	E14tg2a-72h 2C	E14tg2a-72h 2D	E14tg2a-72h 2E	E14tg2a-72h 2F	E14tg2a-72h 2G	E14tg2a-72h 2H	E14tg2a-72h 3A	E14tg2a-72h 3B	E14tg2a-72h 3C	E14tg2a-72h 3D	E14tg2a-72h 3E	E14tg2a-72h 3F	E14tg2a-72h 3G	E14tg2a-72h 3H	E14tg2a-72h 4A	E14tg2a-72h 4B	E14tg2a-72h 4C	E14tg2a-72h 4D	E14tg2a-72h 4E	E14tg2a-72h 4F	E14tg2a-72h 4G	E14tg2a-72h 4H	E14tg2a-72h 5A	E14tg2a-72h 5B	E14tg2a-72h 5C	E14tg2a-72h 5D	E14tg2a-72h 5E	E14tg2a-72h 5F	E14tg2a-72h 5G	E14tg2a-72h 5H	E14tg2a-72h 6A	E14tg2a-72h 6B	E14tg2a-72h 6C	E14tg2a-72h 6D	E14tg2a-72h 6E	E14tg2a-72h 6F	E14tg2a-72h 6G	E14tg2a-72h 6H	R1-72h 1A	R1-72h 1B	R1-72h 1C	R1-72h 1D	R1-72h 1E	R1-72h 1F	R1-72h 1G	R1-72h 1H	R1-72h 2A	R1-72h 2B	R1-72h 2C	R1-72h 2D	R1-72h 2E	R1-72h 2F	R1-72h 2G	R1-72h 2H	R1-72h 3A	R1-72h 3B	R1-72h 3C	R1-72h 3D	R1-72h 3E	R1-72h 3F	R1-72h 3G	R1-72h 3H	R1-72h 4A	R1-72h 4B	R1-72h 4C	R1-72h 4D	R1-72h 4E	R1-72h 4F	R1-72h 4G	R1-72h 4H	R1-72h 5A	R1-72h 5B	R1-72h 5C	R1-72h 5D	R1-72h 5E	R1-72h 5F	R1-72h 5G	R1-72h 5H	R1-72h 6A	R1-72h 6B	R1-72h 6C	R1-72h 6D	R1-72h 6E	R1-72h 6F	R1-72h 6G	R1-72h 6H
Nr6a1	18.15853601	20.9958642	999	999	19.08188456	16.29718411	19.25852832	999	21.14079936	20.19944631	19.96540321	17.82600331	19.50840023	19.50196387	999	19.88533589	999	999	18.01655029	18.97774483	17.88268742	999	19.24340292	17.97726853	18.27554519	19.49294093	19.19000081	999	18.42063893	19.89584549	17.70772367	19.28199859	18.42667658	999	18.79771445	21.49486658	999	999	18.71565086	18.23111404	999	19.68056986	999	999	19.79649449	18.21369729	999	999	999	999	18.97329971	19.7522366	999	19.02276817	19.64095528	18.98831086	999	22.22046515	17.80886561	999	20.10451387	19.25909171	18.40521184	18.39870488	19.58307119	999	999	20.86746927	999	999	999	999	999	19.10289373	999	999	999	999	999	999	18.32954977	24.09424349	999	18.81284145	19.74548721	19.36638933	19.2046023	17.67815455	22.46200871	18.38714787	999	19.55075005	999	999	18.7481958	19.1967305
Olig1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.35178005	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.5328788	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Olig2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.55593764	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Otx2	999	18.9499576	999	999	999	999	999	17.8465947	18.48469523	999	16.09347056	999	999	999	18.87296604	999	999	17.94757362	999	999	18.81562111	999	999	999	999	999	999	19.16404394	17.42150129	999	999	20.30098113	18.41674271	999	999	17.9251914	999	999	999	999	999	999	999	999	999	18.10038215	999	17.83249011	999	15.81403786	14.94044322	16.31823047	15.37713691	16.11503757	15.26292542	999	999	18.4850873	19.67175643	15.51447634	15.15793383	13.98074034	15.05085173	17.79895907	16.11845105	14.67772143	15.54572105	999	18.47378771	17.04272789	17.55834527	14.89102265	17.21975297	15.29703487	999	16.40042569	15.15554121	15.31498957	15.42474897	18.53296127	14.96338103	19.72685174	999	14.65685299	999	15.4167801	19.41769516	999	18.44768717	16.17266054	16.6376149	16.63608292	999	14.99253394	14.94298113	15.33021148
Pax6	999	18.33772202	17.35878035	999	18.70671167	15.68994431	999	999	999	18.48319234	17.44056898	999	17.1233331	16.1705326	999	18.64264336	18.31462141	18.43439308	15.56023448	17.33330963	17.11228998	17.20794161	999	18.10753385	999	16.14817085	999	17.19115807	999	17.31080467	999	999	999	999	17.22427188	999	18.43270856	16.07673598	15.6952112	999	999	999	999	999	17.86781599	999	16.5838316	17.35980868	999	999	999	999	999	999	999	999	999	999	999	999	999	17.93092632	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.0639713	999	999	999	999	999	999	999	999	999	999	18.43999264	17.34012738	999
Pou5f1	16.37039213	999	17.28624775	17.16773591	18.40097494	18.92050954	19.62590459	15.74342025	17.51808126	16.90065384	15.84025472	999	17.47662405	17.67764058	18.30659301	19.44171687	17.59347213	17.78289594	999	999	16.80261108	18.72271258	16.60736721	15.92267938	17.29185147	999	15.65588431	999	15.17086756	18.65762988	18.87274411	18.53600813	16.86549123	21.36998788	999	999	19.23308811	999	19.33446018	17.71338375	999	17.88056469	17.20800091	999	15.95762222	16.84047914	999	16.34205012	18.76894463	16.00754859	15.93534953	16.74777872	14.87754677	16.2205127	16.53065805	17.10564303	17.34038953	17.90946265	16.96806997	16.10958516	15.64909376	15.67329291	15.2971963	15.95197975	18.62208857	16.00244039	15.48640164	18.19429406	16.93196216	16.49694081	14.88736443	16.37362679	17.11706848	16.71870469	17.68666665	17.24614267	17.87644661	17.7778373	18.41690544	14.95222924	18.8601337	16.82710223	17.64637908	14.92698026	16.87199059	16.31175077	16.02188994	16.90303125	24.94264864	15.24098042	16.75562242	14.69884507	17.75580741	16.14243321	15.22072926	16.04844349
Prmt6	19.27758627	21.30171866	19.92247058	999	21.11954245	19.47519401	19.3993632	20.13969704	18.37614397	999	999	999	999	17.86112564	999	18.59618606	999	19.22588643	999	999	999	999	999	999	999	999	999	19.25734218	19.45235968	999	999	999	999	19.33794695	999	999	999	999	20.23377117	19.32504445	999	19.63358718	999	999	19.31619144	999	19.02827041	999	999	999	18.95139288	999	999	19.35327598	19.44719235	999	999	999	999	999	999	999	999	19.38497038	18.41420695	999	999	999	999	19.12556804	999	999	999	999	999	999	999	999	999	19.65651053	999	999	999	18.39078294	999	999	999	18.15141978	999	999	999	19.34323738	999	18.59043638	999	18.91548421
Prmt7	15.92551231	16.91425463	16.35326449	16.95215157	15.69181976	16.43344098	16.28243072	17.19233572	15.96525936	16.575983	18.71209723	18.0178652	16.91633661	17.10966702	18.754986	16.82856399	17.02824818	16.07465524	16.7030822	17.64231691	18.48939149	16.07214154	16.75477618	15.55292409	16.34047172	19.70642249	15.8071338	16.20390936	16.15015931	17.13969454	16.16608821	17.38817117	16.13378083	17.25994947	15.90580266	17.19347785	17.16574353	15.49451741	16.59492754	16.13134655	999	17.14586276	18.62922819	999	16.40565201	17.5093537	16.36592128	17.23429776	16.28430243	18.52688753	16.00729834	15.90211166	18.31558549	16.07320237	16.05107615	15.51855025	15.6114051	16.33779734	17.66692665	999	16.73042127	15.52665722	15.21479717	16.11788441	16.40215051	15.96782212	18.63371881	16.17209121	16.54471895	999	17.28970586	16.01905387	999	15.78402174	18.62954974	17.10842398	16.90106255	17.15638143	16.43343545	15.77795954	15.19238942	15.53149844	16.95302877	15.89930686	17.01614925	15.6679382	18.6533857	15.64813063	16.70819394	15.00262985	17.55591792	15.66714949	16.48327578	15.20010366	15.8235193	17.37298242
Ptpn11	14.9873901	14.89955403	15.94775945	14.84957954	14.55432543	14.41935713	15.35462633	15.33683015	15.24277081	16.21236699	15.13886516	16.66452174	16.83870334	16.09845838	15.96576284	17.95299005	16.39314714	16.72408695	15.96624644	999	16.45359858	15.57329291	17.75057058	14.5421458	16.10270059	16.36412078	16.70785576	15.65236825	14.47995084	15.6299684	15.34270893	15.08500217	15.95388257	16.11604014	15.34060152	17.66003986	14.68578812	16.47283572	16.6544385	13.55797099	999	15.01053414	16.57870344	999	14.70981152	15.77144198	16.43140198	15.1971036	999	999	15.38813952	17.42982582	17.60075098	17.51613762	15.92305105	15.09502677	15.49150776	15.52672807	15.89171429	16.10072068	15.84982859	16.34317158	15.44628156	15.94301601	16.37957772	15.8791138	16.59985413	15.70773295	15.76778259	15.90254287	16.17245747	15.6780448	17.88635027	16.0155658	19.89267347	15.34304276	15.86078465	17.62901935	17.34383176	15.82580906	14.81786942	14.67808163	16.57091392	14.59294415	15.36970786	15.47898238	16.59475455	15.99639544	999	15.38211979	15.85421353	14.81781035	16.75681925	15.40673378	14.87654154	16.9134703
Rai1	16.09474209	17.04650828	16.11089258	999	17.50405858	16.22360329	16.24341602	16.96613419	16.30491317	17.22717123	16.1935404	15.34592464	999	18.30049234	999	17.9762353	16.44082815	16.92840789	16.74730199	16.43182303	17.97194291	999	18.21099106	17.39584632	18.21172653	18.33868942	999	18.56053242	16.517854	15.94173514	18.35288263	17.36037839	20.4444558	18.0666563	15.17516259	17.87240554	999	17.8724642	999	15.38088633	999	999	999	999	15.70702982	18.10065873	16.192815	999	999	18.24209893	16.54470687	999	999	16.84030268	999	15.77456778	16.3769679	999	999	999	999	18.4913896	17.9563385	17.5258293	18.20103373	999	999	999	16.60854913	16.94929737	999	999	999	999	999	17.14645211	18.71599603	999	17.11423476	16.65767631	999	999	999	15.67229593	999	999	999	18.00489689	999	999	16.63405077	17.92665396	17.93700079	18.16794903	15.89936773	999
Rcc1	16.64542623	17.40151319	16.62247165	16.67391374	16.18224911	15.38395829	17.89143263	16.00070787	15.02827907	15.43487795	16.29582482	16.62278966	999	16.2157374	17.16408381	16.74131163	18.69285015	16.83857316	16.32205715	999	16.52510439	16.05692733	16.77240636	16.29048043	16.73239279	17.68901322	16.70321765	15.606441	15.59249545	16.68527932	16.57585761	18.44342218	15.88786534	15.92553479	15.61283999	16.95484807	17.10652996	16.29692843	15.47373913	15.48001278	999	16.00767123	18.16871969	999	15.17813689	16.30530231	15.59326883	17.22848687	16.67346039	999	17.14556438	18.72716887	16.65272801	17.98599302	17.22455981	15.89184076	18.3163919	15.72116156	999	999	999	16.40814164	17.2077025	17.19301404	17.86087173	15.80691577	999	18.39935943	16.82063241	18.74650273	999	17.09104934	18.71803729	17.26462097	999	16.84171533	18.36610363	16.58626218	15.7665	16.06832258	16.67579432	15.70792142	17.08541048	16.23446008	16.09087987	16.58014669	18.17620925	15.65366704	999	17.35762135	15.81144889	15.86823365	16.43905449	18.44946649	15.4037695	18.75098528
Rest	14.81047514	14.53204295	14.86817224	15.10932615	15.90030068	13.63809784	15.31153192	13.98298706	14.12927094	13.86462529	14.26876071	15.08520896	18.61320083	15.2484653	15.61110575	16.92023816	17.40670337	15.72716567	15.95263476	15.57861975	14.87955218	14.53526697	14.3084122	14.61628435	15.96649242	14.74382051	13.92734194	15.59388995	13.71454421	14.86123741	13.89955324	15.22044356	13.9353251	15.64578902	14.18849944	17.9855051	13.91450231	15.09162412	14.8547953	15.14425248	999	14.44151559	15.95393564	999	12.73686413	14.48786779	15.07943822	13.99061331	999	14.95697791	14.1053	14.61324411	14.30377573	14.91123137	14.53835892	13.05577877	14.0733283	13.5438397	14.63387267	14.53993388	14.21313183	14.22755848	14.10708041	12.95802726	14.04238409	14.16961819	13.97927084	15.87678164	14.70458236	14.04631649	13.85698677	14.64171529	18.2964674	13.5620098	14.51460884	15.74508651	13.73265037	14.70479192	14.97504961	13.84608487	14.18194489	14.3454507	15.29251464	13.28701491	13.94436947	15.11890315	14.33411098	13.44329974	14.44741591	14.86592425	14.72833897	13.97894628	14.5571181	14.50559067	13.90001322	14.05087807
Sall4	13.6477649	15.57395574	15.33449058	14.69804994	14.37173985	12.64947858	13.41451654	12.72713756	13.76081381	12.8530328	12.47205503	14.00694511	15.41671243	14.32571917	16.34285648	14.84704995	14.70307672	13.41979096	14.42688259	15.11934387	14.00635879	13.92904055	12.92817262	11.39446393	15.27604818	14.81477392	13.3095655	14.76549403	13.12120582	14.76155245	13.79441017	14.03836075	14.04525645	14.1655019	14.4460791	15.58888513	13.79430979	13.50055967	13.74356286	13.06375241	999	13.5817387	15.71509878	999	13.28955908	13.33255626	15.12977777	13.08422891	16.20588598	16.60007514	14.25232918	16.03651631	14.57033897	15.5501122	14.82600232	14.72413535	14.90447	15.67002085	16.56510125	14.32828694	14.76995905	14.12166103	15.20423322	14.68287258	15.17377747	15.42949466	16.80177091	18.26984101	15.86740632	15.46595734	14.50708347	16.0747535	18.27016506	15.2028384	17.56256986	16.22010225	15.66050447	15.51836279	16.11025258	15.87838493	14.88519396	15.5852045	16.14881531	14.83934376	15.17443514	16.41054454	17.63980988	13.80076457	16.26666719	16.64349212	14.16328791	15.27771809	15.25020735	15.19679207	14.93024661	14.55525088
Setdb1	17.12959806	18.35679176	18.48737741	18.35747541	17.3160293	17.5960429	18.07955974	17.57714055	17.88767674	18.45018686	17.41798231	18.03570297	20.04318716	18.40508604	999	18.78712999	18.54186999	18.71286728	17.63911897	18.89767065	17.84725501	16.94799321	19.09799498	16.86464478	18.0252823	18.30880745	17.59277689	18.66132712	17.43066315	18.46492034	17.84880589	19.64246499	17.13180501	17.77586911	18.25836903	18.84988095	16.33762811	18.52226416	18.52744925	19.80167204	999	17.82744456	19.8854393	999	16.16589093	16.89971039	17.93776163	17.99595319	20.07714692	18.86874387	18.06303207	18.78138869	17.32307565	18.10678786	999	16.91527148	17.49255236	18.36418971	17.69091514	19.64440637	18.71983793	18.65541924	999	18.15510251	18.50995192	17.84694588	19.95246918	999	17.67507174	18.88975879	19.65657611	17.46923599	999	17.87937998	20.05946322	17.51860949	19.31557962	18.18462134	18.25221796	18.40135235	18.22345799	17.3899243	18.67794419	17.88900382	17.66242374	19.82663633	19.11435011	16.69525319	17.48530642	19.67667994	18.16367722	18.96681993	17.73094523	19.65288591	18.05878489	18.59877988
Smad1	16.47002438	16.57360165	16.82033846	16.19575968	16.21405826	15.2472422	16.2631568	17.50026114	15.367697	17.00663562	16.08046059	15.48999794	16.96676322	17.20164246	18.89822802	17.73250858	15.75974516	16.86664253	17.02694071	16.65943045	16.41122326	17.13183647	18.12029527	15.65312864	17.50918141	16.68489456	14.72863075	16.35348558	15.75233893	15.68738788	16.41981337	16.26592148	15.70821087	16.26816376	16.6284181	17.02785473	15.84563989	16.10310857	17.05121482	16.84653466	999	17.78364468	19.30170507	999	14.3720184	16.00788161	15.8093073	16.56664593	16.94036964	19.3744605	16.86264047	17.73239247	16.2667559	17.23344627	17.56774701	16.3789534	16.11261746	16.48776553	16.5947354	19.498959	18.92007844	17.46789211	16.916844	16.60169132	16.71596235	20.45841925	17.40569215	999	18.75252487	17.37501242	19.59240596	17.8679867	999	17.20460222	17.34582869	16.88763274	16.93417063	17.96241713	17.91401182	16.66794167	17.00138591	17.19608354	17.86361866	16.76900361	17.79398942	19.05724432	999	15.85680237	18.11677958	17.79197937	18.30281871	17.83191646	17.76396435	17.53765108	15.8668125	19.09385411
Smarca4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Smarcc1	13.54586095	13.8156573	13.53627333	14.56768858	13.86315452	12.72888853	13.63496996	14.1926631	13.80110672	13.70170369	13.1751121	14.04367336	14.59299839	14.03420805	14.76753843	14.23461857	13.41431232	13.94003084	14.08391857	15.78478303	13.93470017	13.59861381	13.60984593	12.89452527	13.60379611	13.53608321	13.15057574	13.76119674	12.86480914	13.54146188	13.74840026	14.22805466	13.55209458	14.21176418	12.97175048	14.46277256	13.24250314	13.20447003	13.22114381	13.75594094	999	14.11550319	16.84823625	999	12.81302822	13.61218412	12.98500055	13.34045536	15.15373884	15.05559819	13.61690214	14.68375568	13.98927587	15.26064382	14.5467572	13.42545549	14.68797682	13.77917174	14.82529707	14.43774441	14.61816936	13.7995317	13.25266387	14.62259895	13.96408913	14.12072638	14.74734325	14.39195165	14.0376122	15.10676946	15.35590152	14.81288333	16.15649057	14.6764403	15.96921319	14.18399848	14.26143627	15.17394186	15.34695719	14.09838345	13.66269958	13.94873013	15.06187553	13.47526568	14.00096198	14.67171075	14.44237612	14.12401015	14.7988848	14.139495	13.80107539	13.9196625	13.97282531	14.59594947	13.57681761	14.11958807
Socs3	18.74719824	18.75505164	999	999	18.69121593	999	18.62113089	999	999	17.33804346	18.80636401	999	18.65766488	999	999	999	19.18551462	999	999	17.67407405	999	999	18.55843087	999	19.85691288	18.48904574	17.44771028	19.81295911	17.19164494	17.98734924	18.120701	999	999	999	999	19.1079432	17.75627409	999	18.61766691	17.74190665	999	999	18.69434697	999	18.3554805	18.41876223	999	999	999	999	999	18.6575171	999	18.8498215	999	18.64327855	18.88015003	18.78835151	999	20.98812778	999	17.18787786	18.26068038	999	999	999	999	999	999	999	999	999	999	999	999	19.11182961	18.06883001	999	999	18.96678466	24.34056602	999	17.63986638	17.38678316	17.21203893	999	18.79090077	999	18.60261405	17.72130894	18.74231732	18.90507289	19.26522456	999	18.68434103	999
Sox1	999	999	999	999	24.11360919	23.65296361	999	999	999	999	999	25.7996231	999	25.93424455	999	999	999	999	999	999	28.8213672	25.45106784	999	27.87695089	999	999	999	999	999	26.20090972	24.413757	27.24211468	999	999	999	999	999	27.8714841	24.81508708	28.51601707	999	999	999	999	26.97310411	999	999	999	999	999	999	31.84690433	999	999	999	999	999	999	999	30.17683658	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.21737142	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Sox2	999	999	16.73951984	999	999	22.42423665	999	999	20.73264374	999	999	999	999	16.59197705	18.10312276	999	999	999	17.97890282	999	29.22055492	23.26401078	999	999	999	999	999	999	999	18.18432644	16.74804534	999	19.40315363	999	999	19.81700875	18.40307182	999	17.70492949	999	999	999	999	999	19.10413189	999	17.99423349	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.15138929	999	999	18.8068555	999	999	999	19.14774876	999	18.23126689	999	999	999	999	999	999	999	31.05940933	17.30888229	999	999	999	999	21.24272908	18.50280505	999	19.47977323	999	999	999	999
Stat3	999	17.3760218	999	16.95247623	17.15154273	16.74027363	17.93603203	999	999	16.64898654	999	18.01267361	17.47111335	18.15977483	15.83708067	999	999	999	17.80315857	18.15065941	999	999	18.23466333	18.35883138	999	17.12780329	16.76350712	18.82179185	18.03559199	17.11947626	999	999	999	999	999	17.12222929	15.55816186	999	18.05203494	18.1329864	999	18.07741286	16.8960551	999	16.86433911	17.7129376	17.60810337	999	18.19805312	999	17.92597115	17.86011618	999	999	17.69322467	15.51622355	17.97722314	16.43797648	15.12898394	16.89524141	18.22809793	16.38785012	16.40946354	999	16.92749492	999	16.54710622	999	18.03036805	16.4938233	16.09008497	18.04735521	999	999	17.19257421	17.05350181	16.10072598	15.84668057	999	999	18.20261686	18.95352082	18.11230256	999	15.7948194	16.57134964	17.91384736	18.20884692	18.04616048	16.95363988	15.59958356	16.05812765	16.99770508	999	999	999
T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Tbx3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.41506384	999	999	999	999	999	999	999	999	999	999	999	999	999
Tcf7l1	13.59815451	15.3806293	20.85577043	15.50267937	15.71845216	14.55673292	14.55655614	13.62066689	16.09759427	14.74391456	13.20221155	15.45899665	17.81287963	14.8215333	15.38430027	17.21013481	15.3836506	17.45088214	16.72797345	16.48478054	15.73599087	15.99671753	14.46199486	15.85570077	15.41014267	14.06039952	15.13296938	18.30555774	12.92521343	16.01475235	15.39882047	14.58545011	15.94387544	16.58033217	17.54146472	999	14.23069253	14.96067776	14.73911523	15.65267279	999	13.2560517	999	999	14.69856243	13.5780725	14.20367361	16.60700188	16.5104331	14.86387448	13.54280055	14.90873109	13.01192153	15.31093521	14.3533559	13.7420286	13.71118595	14.52272263	16.15846689	13.74908963	14.52787547	13.83859251	13.82359468	14.72984	14.03078743	14.27511437	14.87033386	15.18237663	18.85798949	16.19951834	13.81829024	15.0350002	17.47476135	14.55667639	14.90821826	15.15190872	15.16451622	15.24261724	15.0625901	13.8437523	13.6950784	14.30010686	17.7717062	14.2422571	14.73322111	14.57791085	15.50427264	13.20296984	14.9073904	14.60869313	13.99032596	14.38668809	14.32222215	14.40541839	14.71409372	15.35145852
Tcl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
Tgm2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.89787616	999	17.88734792	999	999	16.60529002	999	999	999	999	999	999	999	999	18.12239137	999	999	999	999	999	999	999	17.92081654	999	999	999	999	999	999	999	999	17.6180994	999	999	17.83885015	999	999	17.05971047	999
Trp53	14.61694121	15.21411206	15.27264781	15.26281568	13.9205371	14.08205503	14.82196651	15.8383695	15.55209132	14.26827003	14.14997446	14.86014777	15.45406068	14.62172575	14.25185369	15.73167612	15.41195217	15.26062554	14.67783705	16.09541068	13.65789456	15.40907871	15.19505836	14.50655221	14.91786263	14.93203372	14.51351008	999	13.6184141	15.05459597	14.13451143	15.10543966	16.62380061	15.94694571	14.67895447	15.91357213	14.8480878	15.72031535	14.24373383	14.34676283	999	15.87241693	15.86271487	999	14.42359239	15.828821	15.05515135	14.45030907	17.89205797	17.39391386	15.37487035	17.52818005	17.59234384	16.90825445	17.22853402	14.99137146	17.66233648	15.85328766	16.81363224	16.70182137	17.40835152	15.66449073	14.56140137	16.97063681	17.18211253	15.80986627	15.97840374	17.20724437	15.58987929	18.57422395	16.48178874	17.53316516	999	17.36496604	16.74053049	17.81379595	18.9164624	17.39706137	16.92770826	17.88717317	24.48983242	16.71335021	16.92729482	16.51885529	15.92973134	16.95185531	16.675853	15.25714824	23.39060359	15.98839601	15.71969925	19.0667264	16.21556698	17.53744924	15.91407067	16.26820775
Tubb3	16.55254797	15.5531359	14.4579479	13.67973649	15.38945909	16.65105409	16.49901182	17.63133217	17.66634285	17.28920151	16.01576116	14.82837058	11.69142824	16.88214155	999	14.11062395	16.34771465	16.09878622	16.4676479	15.75321334	14.95371514	16.39751785	14.99494346	15.21845911	22.39041765	15.22848181	12.43021759	16.68504806	15.216731	16.73278955	14.9352728	17.47907238	16.47743018	14.14848205	17.7100578	12.23606333	14.35290973	15.49607266	15.68617461	14.86436696	999	16.43179919	16.7107863	999	14.88081389	14.31066102	14.7065402	15.13075813	14.84477376	17.37451692	15.11048506	999	999	16.8279801	999	12.73714451	15.32189813	13.69820723	17.25519792	17.50967581	16.9821294	14.63613746	14.60014975	999	14.59211344	14.02353651	999	15.35828531	14.74717935	16.61163459	999	15.92602131	15.90642541	999	14.80749465	16.24344513	16.47299613	999	15.63549349	15.85663704	14.12239952	13.9223437	17.46551842	15.49515672	14.83926478	999	999	13.68359444	15.18739429	18.41480689	14.3595994	16.53576405	14.95873661	999	17.68538391	18.39815053
Utf1	22.12675184	999	24.2851881	18.84179362	23.02486147	18.36944407	18.92039018	15.17311943	22.86495309	21.2185657	21.80707322	18.11662873	19.84425398	19.7358113	15.53874238	999	26.49903352	22.85323008	999	20.01289791	17.60978308	19.38757029	16.33751992	18.03038759	999	27.17226799	18.53813097	999	14.9183499	17.6253932	18.62959205	999	999	25.90594115	999	16.94893435	17.34963799	19.29503625	999	999	999	23.59339683	999	999	18.67474089	17.22937025	999	15.80528941	999	20.97820607	13.89702175	15.78456665	15.59173508	15.82162472	16.77378338	14.83956595	23.83493899	21.7864163	21.30991896	15.49905072	16.39497588	14.22539896	13.50189128	18.78510006	24.18177709	18.19388789	17.96032982	20.5683316	16.28589392	16.40372531	15.89037991	15.1906654	26.32504185	18.91914157	21.99988181	16.08308853	15.11227812	14.8775839	14.84274341	14.33406079	999	24.45802165	21.08514222	16.39297629	15.80275164	15.57752093	14.52626355	13.47716043	999	18.50480866	17.43801299	16.27463785	15.42709357	14.90346871	14.9750148	14.48306798
Vim	14.73015907	13.60795649	13.69356938	10.64786597	15.97040298	15.15920956	15.58647713	16.48553592	15.64343326	14.68273672	14.63915945	17.47310133	12.76626107	12.98060303	14.78830152	13.86976889	14.78631241	15.48933747	14.72632304	17.66259861	16.00507976	14.21941494	14.12643719	14.33851283	13.83702279	15.79137051	10.80866455	15.20755926	14.7636587	17.50418547	13.96537858	14.56372877	14.42132345	14.22377504	14.04396135	12.08710476	12.80617025	14.51101074	14.90102243	13.91224165	999	14.40471671	16.29387697	999	14.12445289	15.13236417	13.50410744	12.91084324	15.10873731	14.8561093	15.93745312	16.4876136	17.19321686	999	17.35261826	16.39228234	17.4502995	14.58827331	12.46453898	17.54113617	15.33424464	17.29734671	17.34511828	17.57849114	999	16.36883901	14.90309043	13.87444101	11.86459105	15.65506923	14.95538724	13.26431213	20.38546657	17.38787836	999	14.9934906	16.4994183	13.80281128	17.53910639	17.6018509	16.05491198	999	13.30251648	17.09133719	15.18699623	14.33119403	16.44224926	14.48769542	10.73557645	999	999	14.34280983	16.40159415	15.98241457	15.58093505	14.9683044
