Genes	E14tg2a-96h 1A	E14tg2a-96h 1B	E14tg2a-96h 1C	E14tg2a-96h 1D	E14tg2a-96h 1E	E14tg2a-96h 1F	E14tg2a-96h 1G	E14tg2a-96h 1H	E14tg2a-96h 2A	E14tg2a-96h 2B	E14tg2a-96h 2C	E14tg2a-96h 2D	E14tg2a-96h 2E	E14tg2a-96h 2F	E14tg2a-96h 2G	E14tg2a-96h 2H	E14tg2a-96h 3A	E14tg2a-96h 3B	E14tg2a-96h 3C	E14tg2a-96h 3D	E14tg2a-96h 3E	E14tg2a-96h 3F	E14tg2a-96h 3G	E14tg2a-96h 3H	E14tg2a-96h 4A	E14tg2a-96h 4B	E14tg2a-96h 4C	E14tg2a-96h 4D	E14tg2a-96h 4E	E14tg2a-96h 4F	E14tg2a-96h 4G	E14tg2a-96h 4H	E14tg2a-96h 5A	E14tg2a-96h 5B	E14tg2a-96h 5C	E14tg2a-96h 5D	E14tg2a-96h 5E	E14tg2a-96h 5F	E14tg2a-96h 5G	E14tg2a-96h 5H	E14tg2a-96h 6A	E14tg2a-96h 6B	E14tg2a-96h 6C	E14tg2a-96h 6D	E14tg2a-96h 6E	E14tg2a-96h 6F	E14tg2a-96h 6G	E14tg2a-96h 6H	R1-96h 1A	R1-96h 1B	R1-96h 1C	R1-96h 1D	R1-96h 1E	R1-96h 1F	R1-96h 1G	R1-96h 1H	R1-96h 2A	R1-96h 2B	R1-96h 2C	R1-96h 2D	R1-96h 2E	R1-96h 2F	R1-96h 2G	R1-96h 2H	R1-96h 3A	R1-96h 3B	R1-96h 3C	R1-96h 3D	R1-96h 3E	R1-96h 3F	R1-96h 3G	R1-96h 3H	R1-96h 4A	R1-96h 4B	R1-96h 4C	R1-96h 4D	R1-96h 4E	R1-96h 4F	R1-96h 4G	R1-96h 4H	R1-96h 5A	R1-96h 5B	R1-96h 5C	R1-96h 5D	R1-96h 5E	R1-96h 5F	R1-96h 5G	R1-96h 5H	R1-96h 6A	R1-96h 6B	R1-96h 6C	R1-96h 6D	R1-96h 6E	R1-96h 6F	R1-96h 6G	R1-96h 6H	
Setdb1	18.46553282	999	18.37345271	18.60591056	999	18.81298225	999	19.16915814	18.48707077	999	18.32780993	16.56605704	999	999	999	999	999	19.96890639	999	999	999	999	17.56155837	17.89480601	17.86532717	18.56281974	17.6657194	999	19.28757574	18.73209489	999	999	17.75397567	18.21220249	999	18.35983943	999	16.8598521	999	999	19.5275985	999	999	999	999	999	999	999	999	17.45588257	999	20.47253243	20.42709657	18.75750326	999	17.57051895	999	999	19.98409918	18.16918223	16.40600923	19.70977635	999	999	18.89113737	17.36929867	18.45572226	19.09743509	999	999	18.79906585	18.70261552	19.15691885	18.09852618	20.68789142	999	18.07712792	18.69652483	19.81320173	20.97242272	18.26101785	999	999	18.86297061	17.83029289	18.97864692	19.57396156	999	19.54515164	999	18.81760676	23.87792036	999	999	20.49551407	999	
Smad1	15.96496428	17.61429446	16.79651487	17.72684616	999	16.50986136	999	17.95580114	18.4839162	999	16.29975876	15.25483392	999	999	999	999	999	16.19861701	999	999	999	999	16.59150949	16.90804285	16.48517802	999	16.25483055	999	16.40201801	17.42114739	999	16.84742334	16.70482208	16.52395108	999	18.91432777	999	15.81212933	999	999	16.31620266	999	999	999	999	999	999	999	999	17.74964635	999	999	999	16.97167649	999	17.38129534	999	999	999	22.625726	15.77202233	16.9954843	999	999	16.96782386	15.09345153	17.18130775	18.89871122	19.29689505	999	18.22614222	18.94804475	16.79625549	17.94978749	19.21118209	18.80879055	19.00301522	18.90401674	17.84371375	18.81273401	16.99679095	999	999	16.93104031	17.50175532	19.13250156	16.83863496	19.52471646	999	16.39158119	17.75758006	18.23561493	999	17.1738173	16.79619647	999	
Smarca4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Smarcc1	13.97199891	13.66465869	13.59536608	14.62341569	999	14.28982472	999	14.66745185	14.23657314	999	13.60023758	12.09484168	999	19.11983052	18.04814861	26.39576775	999	13.24833202	18.80507964	999	999	999	13.7822145	13.99646932	13.31832467	14.64516708	14.11828764	999	13.83646943	13.71132136	19.46994498	14.16714245	14.24834201	13.18977999	17.8841731	14.07535123	18.6457608	13.08914843	999	18.93584452	14.06897253	20.11914976	999	18.99953203	18.03856988	999	999	26.69090645	17.48202979	14.9238104	18.91792968	17.36643106	16.62750124	14.87704822	999	14.44203299	999	26.65077151	18.88186803	15.93388568	13.37072476	15.44982705	19.36652838	19.13351989	14.80704409	12.88264808	15.40811592	15.83785352	18.38302775	999	16.01165597	15.07084496	15.27529016	15.57414568	16.83343576	18.78220995	15.97975098	14.63085488	15.96808851	999	14.15995425	999	18.70575002	14.71636263	15.15680209	15.45801327	15.34875005	18.10944518	17.78949102	14.0565814	15.52121195	16.22605401	999	999	14.31606472	19.2146204	
Socs3	999	999	999	999	999	999	999	999	999	999	16.95221054	17.72080847	999	999	19.62124526	999	999	999	999	999	999	999	999	999	19.5128188	999	999	999	999	999	999	999	18.34658637	999	999	18.72916659	999	17.85069352	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.69890458	17.4410488	999	999	999	999	18.32024873	999	999	999	999	19.62817129	999	999	999	19.13759403	999	999	999	999	999	999	999	999	17.93801773	999	999	999	999	999	999	999	999	999	999	19.77750386	999	
Sox1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	29.81163239	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Sox2	999	999	999	999	999	18.39546991	999	999	17.67341328	999	26.7731014	19.42836914	999	999	20.33934447	999	999	17.43168124	999	999	999	999	18.3205086	18.58467683	22.1661952	999	19.80522568	999	25.8306204	17.8420622	999	999	20.22758132	20.21541435	999	999	999	18.07529249	999	999	24.5674129	999	999	999	999	999	999	999	999	999	999	999	19.61680902	17.74349474	999	999	999	999	999	999	999	999	999	999	999	18.24833048	999	999	999	999	999	999	999	999	999	999	999	19.02610367	999	999	19.38600523	999	999	999	999	999	999	999	999	999	999	20.01614505	999	999	999	999	
Stat3	18.34284619	17.36535741	999	18.12776109	999	17.21153333	999	18.28150919	999	999	17.43065025	14.92288023	999	999	999	999	999	16.77515501	999	999	999	999	999	999	999	999	17.10574806	999	17.42195235	16.58306795	999	999	15.94833564	18.40144437	999	999	999	17.79989074	999	999	999	999	999	999	999	999	999	999	18.22638979	18.27842228	999	999	999	17.09667021	999	16.38445724	999	999	999	16.02760492	16.74469543	18.52708327	999	999	17.15275339	15.59970374	17.15679352	16.66219898	999	17.87033975	999	16.54879418	999	17.96188322	17.28250743	999	18.1439032	17.8456923	17.139706	999	999	999	999	17.76355745	17.85151712	17.92405168	16.61462655	999	999	999	16.41669863	18.09862938	18.01444509	16.81107089	18.13113097	999	
T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Tbx3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.39516622	999	999	999	999	999	999	999	999	999	18.4350578	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.88821063	999	999	18.3552337	999	999	999	999	999	999	999	999	999	999	15.5563164	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.53600178	999	999	999	999	
Tcf7l1	16.15126429	15.12512285	16.45152361	16.36189685	999	15.78481093	999	16.95035288	16.29042432	999	13.97784794	15.43658099	999	999	17.69711366	999	999	15.68754622	999	999	999	999	16.02325368	17.20182804	15.0541223	16.75890853	15.5833909	999	15.73191319	14.25240584	999	16.11826656	14.699953	15.07264385	999	15.71223479	999	14.46304855	999	999	15.47686381	999	999	999	17.89234502	999	999	999	16.19565526	14.98773676	16.98562959	18.0188658	999	14.23403854	999	13.88904372	18.5118121	999	999	15.67367738	13.02945164	15.48824437	999	16.55351138	14.15618459	13.08455324	16.44191166	16.20427617	999	999	14.94144905	14.51067122	14.57829847	14.18017933	16.35105556	17.93073432	13.87965484	15.13201706	16.95666017	999	14.69492806	999	999	14.25082027	16.68654837	16.89539237	14.85363309	999	17.05206758	13.44287706	15.56751729	14.7270196	18.49590131	16.36893385	15.56679528	999	
Tcl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.93676643	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Tgm2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.53729461	17.8498554	999	999	999	999	999	16.97325869	999	999	999	999	18.47992034	18.55895708	999	999	999	16.29979222	999	16.69051333	18.06617009	999	999	999	999	17.93668073	999	999	999	999	999	999	999	999	999	18.25028174	18.26650143	999	17.39697819	999	999	999	999	17.27760651	999	999	999	999	
Trp53	18.89715487	17.54587615	25.8484527	16.92940916	999	18.66489059	999	17.5100964	17.19870345	999	999	16.82123693	999	999	20.69797338	999	999	17.36563403	999	999	999	999	16.49253163	16.57653425	24.87443745	20.3841834	16.92955477	999	25.67292198	15.94897686	999	18.75512015	21.58888841	22.42360249	999	17.39965515	999	18.83426991	999	999	26.21489842	999	999	999	18.77876869	999	999	999	999	999	999	999	19.96337139	16.5195457	999	21.08786158	999	999	999	19.32072055	16.26037459	19.87369958	999	999	19.08647464	15.5017976	16.5548886	17.85907065	25.97098693	999	18.60275302	19.20457957	17.61350394	999	999	999	999	18.31197835	19.65207315	999	20.98741428	999	999	20.30315912	999	19.9419534	999	999	999	17.67699374	19.43504079	999	999	999	17.62876655	999	
Tubb3	16.38851103	16.46518745	16.83244385	16.75821344	999	17.74424281	999	12.77295535	17.53976756	999	17.53840799	13.90020624	999	999	15.70533316	999	999	14.14534246	999	999	999	999	16.31986037	16.88122651	15.14898897	10.67889806	14.17453187	999	15.75868829	16.8389888	19.44709225	999	17.74799848	17.71601866	999	15.33257031	999	13.29575542	999	999	17.74530624	999	999	999	999	999	999	999	999	999	999	999	19.14870792	999	999	999	999	999	999	999	17.77685052	18.14185358	999	999	999	17.8084428	999	999	999	999	999	999	999	999	17.90914321	999	16.73365929	999	999	999	999	999	17.53337043	15.69552565	17.63149208	999	999	999	999	999	999	999	999	16.66000372	999	999	
Utf1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	24.01873484	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.88176714	999	999	19.40735675	15.34900712	999	22.66887664	999	23.57821119	20.55008734	15.83052884	18.38971952	16.5127757	999	999	16.56023635	16.13249684	16.46721558	18.65902682	24.5057569	999	21.28791159	16.45893773	21.85752132	20.58880931	18.40383503	999	15.88887976	18.19893254	999	999	999	999	999	15.99645259	16.56997328	18.64213946	24.9405803	999	999	16.81118631	17.1393542	16.20350119	999	999	15.70836863	19.2507763	
Vim	11.62282622	11.46995928	11.46306206	13.74195464	17.91486416	12.24640375	999	11.59349041	13.10947068	999	10.16987637	10.67292702	17.91898469	999	999	999	17.83982384	11.66553165	17.73424915	999	17.7115457	999	13.03261915	12.85225727	12.99129514	11.71204381	10.66960093	999	11.64919276	16.05089188	17.65342488	11.35391284	10.78691973	11.43554357	999	11.49790505	999	9.203493647	999	999	10.72168322	999	17.70946611	999	16.2385891	17.84949072	999	999	999	999	999	16.80864386	16.62533685	15.23605619	999	999	17.77588669	999	999	999	15.30607021	16.48517164	19.89555938	999	999	13.44578606	14.84961483	16.90559899	17.73022242	18.34201568	999	999	999	17.47864532	16.34862897	999	16.30664511	999	16.26597916	999	17.82012406	999	999	999	17.52286229	999	16.42587554	999	999	16.08860268	16.59634986	16.20345613	999	17.73313706	15.49496552	999	
Wdr5	16.68882112	16.69275373	16.49102782	16.61398085	999	17.74414949	999	18.12007137	17.51649569	999	15.67955335	15.13929619	999	999	999	999	999	16.75472993	999	999	999	999	15.84583262	16.26504439	16.59379037	17.15638929	16.76050232	999	16.32628399	14.95326643	999	17.1681003	17.56504387	17.56916704	999	16.78630588	999	16.77585308	999	999	16.96116961	999	999	999	18.99077117	999	999	999	20.12696484	16.28884306	999	20.59310484	999	15.84918726	999	15.76812944	999	999	23.20083497	16.22672435	14.93616365	17.2786757	20.1558355	999	16.21915225	14.87388011	16.88398405	17.92883676	999	999	16.57318659	16.79053934	16.87329002	17.13274463	18.50999731	18.33878392	16.4107276	16.76103635	17.76665625	999	16.5009793	999	19.95644737	15.31434957	16.28839508	16.60671842	18.31895936	999	19.60260915	16.08735155	17.66062633	16.91981118	999	19.40557645	15.91641558	999	
Wnt3a	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Wnt5a	999	999	999	999	999	999	999	999	999	999	999	18.23442885	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.17580823	999	999	999	999	999	999	18.32793254	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.74966279	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Zfp281	15.88939185	15.29408675	15.47623347	16.78918463	999	16.27087235	999	16.2309641	15.10165305	999	15.55581561	14.09126219	999	999	16.61900897	999	999	15.11473165	999	999	999	999	15.6836619	15.47614758	15.55175829	16.67564118	15.85060247	999	15.40627284	13.67122745	999	16.22383784	16.3012548	15.23305514	999	16.88431128	999	14.85941268	999	999	16.97462765	999	999	999	19.52166532	999	999	999	18.33728256	14.6010936	18.32832697	19.57968197	18.70152497	15.07276131	999	15.26270242	999	999	18.93365014	15.42919547	12.95597976	15.06789172	18.94889571	999	15.77347984	12.96700489	16.03847607	16.53786685	24.40526121	18.57078535	15.46456591	16.3690459	15.50985685	15.63209443	15.48504386	17.36812626	14.75144051	15.22359097	16.46100854	999	14.78359003	999	999	14.96549564	15.22001327	15.48889759	16.29250869	999	999	14.48604159	15.69616017	14.89623317	18.58329671	15.30467849	15.47356436	18.87480777	
Zfp42	999	19.60397705	999	999	999	999	999	999	19.4326472	999	999	999	999	999	18.41651043	999	999	21.20325577	999	999	999	999	999	999	999	999	999	999	999	12.48586851	19.70634095	20.11105356	999	19.15996609	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.69171588	999	999	999	999	999	20.81322014	999	999	20.59789519	19.74757081	16.76973208	20.57948653	999	18.53408039	999	17.77544256	999	18.08913588	999	999	19.09845082	16.70055899	999	25.0619227	19.05462082	999	19.27816298	20.89833361	20.93245519	21.1910662	18.10768194	999	19.45859732	19.50051876	17.2690419	20.30264524	17.58604181	999	999	19.66155858	999	20.55797214	999	17.98082402	17.38612221	999	
																																																																																																	
