Genes	E14tg2a-96h 1A	E14tg2a-96h 1B	E14tg2a-96h 1C	E14tg2a-96h 1D	E14tg2a-96h 1E	E14tg2a-96h 1F	E14tg2a-96h 1G	E14tg2a-96h 1H	E14tg2a-96h 2A	E14tg2a-96h 2B	E14tg2a-96h 2C	E14tg2a-96h 2D	E14tg2a-96h 2E	E14tg2a-96h 2F	E14tg2a-96h 2G	E14tg2a-96h 2H	E14tg2a-96h 3A	E14tg2a-96h 3B	E14tg2a-96h 3C	E14tg2a-96h 3D	E14tg2a-96h 3E	E14tg2a-96h 3F	E14tg2a-96h 3G	E14tg2a-96h 3H	E14tg2a-96h 4A	E14tg2a-96h 4B	E14tg2a-96h 4C	E14tg2a-96h 4D	E14tg2a-96h 4E	E14tg2a-96h 4F	E14tg2a-96h 4G	E14tg2a-96h 4H	E14tg2a-96h 5A	E14tg2a-96h 5B	E14tg2a-96h 5C	E14tg2a-96h 5D	E14tg2a-96h 5E	E14tg2a-96h 5F	E14tg2a-96h 5G	E14tg2a-96h 5H	E14tg2a-96h 6A	E14tg2a-96h 6B	E14tg2a-96h 6C	E14tg2a-96h 6D	E14tg2a-96h 6E	E14tg2a-96h 6F	E14tg2a-96h 6G	E14tg2a-96h 6H	R1-96h 1A	R1-96h 1B	R1-96h 1C	R1-96h 1D	R1-96h 1E	R1-96h 1F	R1-96h 1G	R1-96h 1H	R1-96h 2A	R1-96h 2B	R1-96h 2C	R1-96h 2D	R1-96h 2E	R1-96h 2F	R1-96h 2G	R1-96h 2H	R1-96h 3A	R1-96h 3B	R1-96h 3C	R1-96h 3D	R1-96h 3E	R1-96h 3F	R1-96h 3G	R1-96h 3H	R1-96h 4A	R1-96h 4B	R1-96h 4C	R1-96h 4D	R1-96h 4E	R1-96h 4F	R1-96h 4G	R1-96h 4H	R1-96h 5A	R1-96h 5B	R1-96h 5C	R1-96h 5D	R1-96h 5E	R1-96h 5F	R1-96h 5G	R1-96h 5H	R1-96h 6A	R1-96h 6B	R1-96h 6C	R1-96h 6D	R1-96h 6E	R1-96h 6F	R1-96h 6G	R1-96h 6H	
Fbxo15	999	999	999	999	999	999	999	999	999	999	999	18.90249305	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	14.4773095	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.89714851	19.36067896	999	999	999	999	999	999	999	999	999	16.44488858	19.64031271	999	999	999	15.55150035	17.38193213	999	999	999	19.70524985	14.55814942	17.94145911	23.9955124	999	999	999	999	999	19.22600789	22.56805114	999	999	19.42547648	15.79694768	19.55716037	999	999	999	18.62522405	17.82546748	19.41268213	999	999	16.29887487	999	
Fgf4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	13.51305555	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.29694344	999	999	999	999	999	999	999	999	999	17.44874748	999	19.01563393	999	999	18.24870968	16.83409804	999	999	999	999	999	999	18.41412906	999	999	999	18.28916002	999	18.34121218	999	17.78295342	999	999	999	999	999	999	999	999	999	18.60507218	999	999	999	15.92256622	999	
Fgf5	999	999	999	999	999	999	999	999	999	999	999	15.86781221	999	999	999	999	999	18.44257341	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.80127515	21.23151268	999	999	999	18.53124611	18.29789958	18.42346632	999	18.69777119	999	999	999	999	999	999	999	999	16.18787828	18.92084268	999	17.76802664	999	999	999	999	999	999	26.90613175	999	999	999	999	999	999	999	999	
Fgfr2	999	999	17.59957047	16.81040134	999	17.22081122	999	17.21520924	17.63901805	999	999	16.31702775	999	999	999	999	999	999	999	999	999	999	19.82310645	16.97718234	16.86973165	999	17.751582	999	17.77834733	999	999	17.67375363	17.63279085	18.94342041	999	16.97936867	999	16.91111274	999	999	16.90363672	999	999	999	999	999	999	999	999	17.76321396	18.82934018	999	999	15.88922722	999	16.75168486	999	999	999	17.46579906	17.53410408	999	999	999	18.75552203	15.60735857	999	17.1836807	999	999	16.66041215	16.84242525	16.82503551	999	17.78215488	999	15.8250503	17.38031855	18.87966756	999	18.86433044	999	999	16.24897282	999	17.79224665	19.21104057	999	999	15.54335773	16.20242868	17.30985052	999	19.84725565	16.65717124	999	
Foxa2	999	999	999	999	999	999	999	20.29820272	999	999	999	999	999	999	19.76055773	999	999	999	999	999	999	999	999	20.0577123	999	15.5995758	999	999	19.45976021	999	999	22.62191891	999	999	999	999	999	999	999	999	999	999	999	999	20.24376519	999	999	999	999	999	24.60360356	22.20951521	999	999	20.9571616	999	999	999	19.85193018	999	999	999	999	999	999	19.15791078	999	999	999	999	999	18.41787203	999	999	20.03719774	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.20768157	19.7015367	
Gapdh	8.870401243	8.931144467	8.969401026	8.693538367	18.20789238	10.07108168	18.26331515	10.10922989	9.819229607	17.78345372	8.222314126	7.257744882	999	999	11.14443982	18.04961024	17.70892585	8.515839394	15.9425116	17.85904042	16.24446917	16.26444748	8.964700364	9.36500373	8.885259803	12.69714273	8.839192297	18.05040992	8.989048338	7.856572058	12.41027014	10.11628605	9.497511201	9.74069654	16.47275658	9.286275058	15.06793044	8.47310043	16.57476964	18.39451993	9.69061648	999	25.66147882	16.45010583	12.7667943	999	19.16645567	17.000769	12.89810546	9.371899602	12.77989919	13.37656927	13.25477754	9.276996001	13.73123118	9.750951677	15.28760543	12.90489733	13.81300819	10.04928205	7.874352842	10.275226	13.1522232	13.67995228	9.411602898	7.264758187	9.881265202	10.50757428	14.17145712	14.01965114	9.975423139	10.00326003	9.549109827	9.368431518	10.58994567	13.31233601	9.401499179	8.657249787	10.86486193	12.93365892	9.932304742	13.92013473	14.39969541	9.309920581	9.86026832	9.713282025	9.53509745	13.90718995	13.23848157	8.553832656	10.45227128	10.586889	13.38189125	10.74143168	8.557585963	15.26038318	
Gata1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gata4	999	999	999	999	999	999	999	999	999	999	999	25.40718231	999	999	999	999	999	21.47190893	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.78954507	18.03792283	999	999	999	18.41071593	18.63746644	999	17.81897445	999	999	999	999	16.06977292	999	999	999	999	999	12.84652604	999	999	19.55414724	999	999	18.54517758	999	999	999	999	999	999	999	999	999	999	999	999	999	19.1263045	18.55279855	999	999	999	
Gata6	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.94380136	999	999	999	999	999	15.4137533	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gdf3	999	17.89302817	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	13.89704328	999	999	17.95844698	15.71347268	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.24663089	999	999	999	999	999	999	999	999	999	17.99840553	18.19255506	16.10045664	999	999	999	14.98306919	18.2325606	18.43052932	999	999	999	999	999	999	999	999	16.92095749	999	999	999	16.43088779	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
GFAP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Gli2	999	18.99594524	999	999	999	999	999	999	19.99755809	999	999	21.83709629	999	999	999	999	999	999	999	999	999	999	18.85479189	999	24.30223944	21.67256305	999	999	999	19.73475555	999	999	999	999	999	17.68920828	999	20.38366817	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.20010412	999	999	999	999	999	999	18.7746554	999	999	999	17.83345252	999	999	999	999	999	999	999	999	999	999	999	999	18.78405289	999	999	999	999	999	999	999	999	999	999	999	18.05262566	999	999	999	999	999	999	
Grb2	18.3177675	16.59710146	15.94750214	16.37863499	999	999	999	18.59961798	21.59198353	999	15.79762157	15.55732393	999	999	999	999	999	16.63775999	999	999	999	999	20.30092873	17.02091165	17.96540664	19.50398092	999	999	16.36664252	16.53328688	999	18.87992485	17.20419078	16.70190399	999	16.68942464	999	16.23779802	999	999	18.65536352	999	999	999	999	999	999	999	999	17.58799064	999	999	999	18.30644544	999	999	999	999	18.51646041	999	15.9507805	999	999	999	999	15.64930479	17.62431836	999	999	999	999	18.63327306	16.77301606	18.5527114	17.69041592	999	17.43496725	18.10961206	999	999	19.10369419	999	999	18.831977	999	999	17.45399992	999	999	16.39084082	999	999	999	17.43387933	17.12973259	999	
Gsc	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.67854437	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.00562472	999	999	999	999	
