Genes	E14tg2a 0h 2A	E14tg2a 0h 2B	E14tg2a 0h 2C	E14tg2a 0h 2D	E14tg2a 0h 2E	E14tg2a 0h 2F	E14tg2a 0h 2G	E14tg2a 0h 2H	E14tg2a 0h 3A	E14tg2a 0h 3B	E14tg2a 0h 3C	E14tg2a 0h 3D	E14tg2a 0h 3E	E14tg2a 0h 3F	E14tg2a 0h 3G	E14tg2a 0h 3H	E14tg2a 0h 4A	E14tg2a 0h 4B	E14tg2a 0h 4C	E14tg2a 0h 4D	E14tg2a 0h 4E	E14tg2a 0h 4F	E14tg2a 0h 4G	E14tg2a 0h 4H	E14tg2a 0h 5A	E14tg2a 0h 5B	E14tg2a 0h 5C	E14tg2a 0h 5D	E14tg2a 0h 5E	E14tg2a 0h 5F	E14tg2a 0h 5G	E14tg2a 0h 5H	E14tg2a 0h 6A	E14tg2a 0h 6B	E14tg2a 0h 6C	E14tg2a 0h 6D	E14tg2a 0h 6E	E14tg2a 0h 6F	E14tg2a 0h 6G	E14tg2a 0h 6H	E14tg2a-0h 1A	E14tg2a-0h 1B	E14tg2a-0h 1C	E14tg2a-0h 1D	E14tg2a-0h 1E	E14tg2a-0h 1F	E14tg2a-0h 1G	E14tg2a-0h 1H	R1-0h 1A	R1-0h 1B	R1-0h 1C	R1-0h 1D	R1-0h 1E	R1-0h 1F	R1-0h 1G	R1-0h 1H	R1-0h 2A	R1-0h 2B	R1-0h 2C	R1-0h 2D	R1-0h 2E	R1-0h 2F	R1-0h 2G	R1-0h 2H	R1-0h 3A	R1-0h 3B	R1-0h 3C	R1-0h 3D	R1-0h 3E	R1-0h 3F	R1-0h 3G	R1-0h 3H	R1-0h 4A	R1-0h 4B	R1-0h 4C	R1-0h 4D	R1-0h 4E	R1-0h 4F	R1-0h 4G	R1-0h 4H	R1-0h 5A	R1-0h 5B	R1-0h 5C	R1-0h 5D	R1-0h 5E	R1-0h 5F	R1-0h 5G	R1-0h 5H	R1-0h 6A	R1-0h 6B	R1-0h 6C	R1-0h 6D	R1-0h 6E	R1-0h 6F	R1-0h 6G	R1-0h 6H	
Myst3	999	16.30859805	15.37891081	999	16.27639426	15.83917605	14.36437623	14.72699414	15.86544798	14.35766454	16.02218773	999	16.26121714	16.81510113	999	14.39230011	15.49022942	999	15.87681387	14.94080947	18.00465423	14.79164574	26.42437284	14.55318725	15.60691338	15.98039482	16.45137835	15.83609593	14.98883616	15.92293789	14.09283658	999	15.7774044	14.56860667	999	14.78675559	26.25967882	15.34725612	14.69555835	14.43756124	22.7547649	15.95116824	14.95046365	15.96372607	16.11910141	15.53786064	15.87227183	15.51550657	15.29288309	999	15.92150967	15.58788195	26.63081243	27.5180942	19.03011932	14.87900945	999	999	15.71745234	15.09781189	14.36915091	15.17056845	999	16.62141733	14.98737449	999	999	999	999	15.19548455	15.91556829	15.76749853	15.18562567	15.01712955	14.36045371	999	15.63421572	14.78219573	14.58130446	15.59097682	14.81880301	16.21430263	15.00627673	23.69885857	14.80470697	15.59796096	15.07093915	26.22074329	999	15.80636178	999	15.67569908	15.17057474	15.54098448	16.22513885	15.65052739	
Nanog	999	15.51989342	14.6977148	999	14.62766656	15.04459769	14.22849042	14.2353105	13.95106414	13.4996859	16.90072154	999	12.90159004	16.35055778	999	13.9033121	14.27526885	18.89043879	14.39026395	14.04738209	13.43121136	13.95097532	999	14.26461359	15.17823351	14.70451991	15.73607974	15.93663216	14.36493222	13.93444517	14.26841611	21.93340057	14.58554972	13.93284589	19.15576542	13.71840441	19.47273498	13.16213209	13.79715306	12.8742624	19.20035918	14.01896674	13.88553779	14.42208088	14.99669621	14.96425204	14.10310514	14.49346413	14.15602735	999	15.80137501	15.41324743	24.86664637	999	999	13.99436064	999	999	14.74795867	13.00716373	13.7352063	15.73684649	25.24935481	16.76728562	15.51952578	999	999	19.17037406	20.33565605	13.55105656	13.30802052	15.79527212	14.27369149	14.99406907	15.43747995	18.0379825	15.81347445	15.0287377	13.91968634	15.04690465	14.16507623	15.96698742	15.36895974	23.58973447	14.31974719	15.45267427	16.86011318	23.40384036	999	14.90369599	999	15.63348212	15.11769829	14.62195912	15.38778791	14.52591725	
Ncam1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.32980352	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nestin	999	20.29830654	999	999	999	20.19387118	999	20.47826078	999	20.3593342	999	999	18.85807856	999	999	999	20.48198829	999	999	999	20.93478782	999	999	21.25680225	999	20.47830616	999	20.6705159	19.50314721	999	999	999	999	999	999	19.21186703	999	999	999	999	999	20.43524039	999	21.50467154	20.70860289	999	19.32216861	999	999	999	19.99162257	999	999	999	999	999	999	999	999	19.99567103	19.27023682	999	999	999	20.28047989	999	999	999	999	999	999	999	999	19.96775352	999	999	999	999	999	999	999	999	999	999	20.06599072	999	999	999	999	18.73163354	999	999	21.02134682	17.85945519	999	999	
Notch1	999	18.47716514	18.4931214	999	999	19.57401738	18.69107673	20.43374478	19.50105376	19.49405639	21.16276661	999	17.9963972	999	999	18.95967769	19.5965545	999	19.91318895	999	20.08856758	19.57076675	999	18.72970267	19.28745393	999	19.8452088	18.97430538	19.00992554	999	19.48703457	999	999	24.59799581	999	18.00401904	999	19.60146409	18.94061389	999	999	19.19125625	999	20.01139822	19.7145946	19.54653268	25.51093421	20.65440677	19.80350224	999	17.74493756	20.33287282	24.35164577	999	999	18.94381999	999	999	19.8273397	17.76379952	17.38771532	999	999	999	19.47755059	999	999	999	999	20.59845361	20.16428201	20.2322321	19.56997321	18.64222728	999	999	999	999	18.55518621	19.11659853	20.48274957	19.26222602	18.53651294	999	19.10808134	999	20.59411838	999	999	18.95345639	999	24.51301746	20.59119983	999	999	19.70077977	
Nr0b1	999	15.65895014	16.40906606	999	13.84910243	13.8677983	14.26681107	17.71588691	14.86403939	14.46926969	16.68202302	999	999	13.87271272	999	15.64111804	15.87614137	999	14.77043607	16.82369717	16.98284712	14.53567035	999	14.79958935	14.88146511	13.86178735	15.9882194	15.21389236	14.51961918	14.65612109	14.49260755	999	15.82046211	14.5085189	999	14.35491105	24.52966834	16.99832881	12.97013622	14.31395729	24.61232989	14.39303242	16.78277918	15.99200652	14.55181842	14.58029114	13.88172367	14.77867895	15.34401521	999	13.22377162	16.06658529	26.25861131	999	999	13.88236171	999	999	14.10300334	15.43792894	13.58623964	14.78285409	26.14603	15.52129186	13.20898366	999	999	999	999	13.85899964	14.75736926	15.43170492	14.89807021	14.4922389	14.16386335	999	14.91104411	13.63930376	13.69769971	16.50797152	14.86509441	16.98496124	15.06637112	23.97508767	14.99928084	15.80191003	15.42222858	25.59312138	999	15.11104589	999	15.03645474	17.4812926	15.24479145	13.2859414	16.77228212	
Nr5a2	21.9231583	17.44220705	19.30003414	999	16.33812284	15.3014166	15.21596478	15.61064846	26.91525599	17.73038194	17.95516646	999	15.44956337	17.79072755	999	15.28308895	22.64696885	999	16.22982478	15.75331715	16.89233203	16.64992425	999	15.88623633	15.56467346	19.71549921	15.70145579	16.24093038	15.58495087	16.77020318	17.41076276	999	15.2167175	17.28191188	999	16.29164681	26.99211636	15.44216968	15.53702229	16.50082307	24.32209516	16.66267711	15.78073992	17.56132528	16.87888369	15.61538576	14.89621195	15.28170435	21.50201424	999	15.92559516	18.60435732	19.72646972	999	999	17.1968845	999	999	15.10845441	16.68797978	16.35582172	15.59485092	999	18.77754984	18.068916	999	999	999	27.84197545	17.28755873	16.86118838	16.48647049	15.70069701	15.67624606	16.72487064	999	16.85717862	15.77523049	15.12810564	16.51979932	15.24018609	16.17305702	16.76704903	24.99294486	15.681021	17.49073358	17.49148526	999	999	16.58622432	999	23.01356517	17.41506474	17.82928314	15.74155648	15.61586441	
Nr6a1	999	19.38668299	999	999	19.72343721	19.54165757	19.50010484	19.42062148	999	22.80372487	999	999	18.55000938	999	999	999	999	999	999	19.41347073	20.28897201	20.89013032	999	999	21.28357306	21.95923339	999	999	999	18.90549251	999	999	19.54095529	999	999	19.28687957	999	22.40303172	20.26863079	19.44811785	999	999	999	999	999	18.54387536	999	19.2496048	999	999	999	999	999	999	999	19.90136586	999	999	999	999	999	999	999	999	999	999	999	999	999	19.2769406	999	999	999	18.34013391	18.10227777	999	999	999	999	999	18.17609897	999	999	999	999	999	999	999	999	999	999	19.4214906	999	19.20695429	999	999	
Olig1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Olig2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Otx2	999	999	999	999	999	19.51553773	18.98681923	18.20357735	999	16.36579585	19.37032923	999	16.8449451	19.61248648	999	999	17.03054696	999	17.20747494	999	999	18.83202145	999	999	18.67950867	18.40079694	17.39004825	17.36848182	999	999	17.97248105	999	999	23.63283191	999	18.68737215	999	999	17.02501747	999	25.23672748	999	999	24.69774322	17.96963573	999	18.90085107	16.74569845	999	999	19.77802289	17.39326286	999	999	999	999	999	999	999	18.57396248	18.71132866	999	999	999	18.95571972	999	999	999	999	999	999	999	999	17.4333886	999	999	999	18.84617445	16.77062185	999	999	999	999	26.27628651	18.51704875	999	18.45409634	999	999	18.75970664	999	999	20.54431314	999	999	17.19435834	
Pax6	999	999	999	999	999	999	999	17.95765343	999	17.51183431	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	25.85347873	999	999	999	999	18.00814169	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.74387594	999	999	999	999	999	999	18.36279523	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Pou5f1	999	14.54248136	14.94791164	999	14.55870861	13.91153445	13.16230295	13.78438836	17.15057493	14.67216107	14.4549112	999	14.70713017	13.64112385	999	13.26928335	15.65982167	20.35926187	14.65027302	13.28795539	14.53847619	14.18349039	26.3149004	14.21753935	14.04652695	14.77005209	14.37294327	14.91507152	13.62748554	14.39953494	13.18395876	18.52218753	14.22567743	13.92481229	999	14.11966466	999	14.06510026	13.5854921	13.88340368	23.10469875	13.72694438	13.70001608	14.83379559	14.48238704	13.60027239	12.83780442	13.26933817	15.28311089	999	14.19092024	14.49440082	24.88467155	25.01444675	19.58270628	14.20677093	999	999	13.61143188	14.5964515	13.9295109	14.4395348	999	16.44990349	14.55033239	26.16900251	999	26.44497626	999	14.60649229	14.69889395	14.71556117	14.35857733	13.88486051	14.44642339	999	14.6503847	14.32544481	14.14492572	14.47661173	13.70290254	15.43979072	14.15582633	22.70551229	14.68233491	15.76817021	14.90362229	24.8700813	999	14.59432001	999	14.94351069	14.45539471	15.36864189	14.59647954	14.16175416	
Prmt6	999	999	999	999	999	999	20.40761635	999	999	999	18.86946508	999	999	999	999	999	999	999	999	999	999	19.81479199	999	19.55758402	19.64680718	999	999	999	999	999	999	999	28.63740957	999	999	20.75488465	999	999	999	19.57813831	999	999	999	999	999	999	21.48411157	19.78146766	999	999	999	999	999	999	999	999	999	999	999	999	999	20.13253163	999	999	19.37421763	999	999	999	999	20.4755985	999	19.74805879	999	999	999	999	999	24.92693172	999	999	20.36641836	999	999	999	999	999	999	999	999	19.66265061	999	999	999	999	999	999	
Prmt7	999	16.07536602	16.06596544	999	15.9537931	17.14478441	16.45561474	15.47382331	17.30861508	17.04781747	18.83570897	999	17.18229423	16.5180025	999	16.3474532	15.77074488	999	16.96137068	17.41998364	16.04200534	16.60059384	999	16.6704306	16.76789622	16.65119537	16.36345109	16.74393161	17.21454861	15.29262684	16.60283244	999	16.49729644	15.96465027	999	17.53784377	999	16.55814987	16.01421827	15.09890287	24.40918693	16.5587409	16.04405344	16.4843791	15.75840249	16.49664699	16.5622474	15.87855396	16.99472842	999	18.77390208	18.05279392	26.9325725	999	999	15.59385753	999	999	15.24376868	16.90285294	16.73639839	17.2491472	999	18.84182644	15.27359356	999	999	23.75848988	999	16.42506791	16.23091159	17.68436514	16.75903714	15.67368483	16.26834239	999	17.07882722	16.82279155	16.67875573	16.95411979	16.50270039	16.55741213	16.29465361	26.41114006	16.99545812	17.68527414	16.83278073	999	999	16.35829876	999	16.90467935	16.70300666	17.6338762	999	15.52719452	
Ptpn11	999	15.98860079	14.49443735	999	15.72589336	15.72868703	14.3966722	14.93180574	15.51827489	16.24871539	14.68787943	999	14.9716215	15.89953252	999	16.07771325	16.31482776	999	16.81788917	16.58046494	15.6146062	15.77454064	999	13.96387924	15.02929979	17.24895155	15.36154257	15.31873185	16.63264817	15.22566441	17.40140059	999	14.84420835	14.94262253	999	15.84021577	999	15.85165163	15.18747667	15.17898739	25.51528914	15.13987116	15.25270625	15.61309098	15.95709248	15.75976609	15.12661267	15.50933026	16.20444759	999	14.37086233	25.15885251	999	999	999	15.6367626	999	999	16.45542101	15.21155613	15.52883514	17.75447768	999	15.67883938	14.92880227	999	999	999	999	15.84360788	15.18056985	17.08003609	16.30081685	15.54824692	14.55111852	999	16.50194462	15.64640907	15.63152756	15.92973554	15.90744493	17.30919476	16.1787288	999	16.73663878	15.48211589	16.08897596	999	999	15.61751605	999	17.93067947	15.69873455	15.57204109	14.92579893	14.96862436	
Rai1	999	999	999	999	999	999	18.13369466	999	18.99325678	999	999	999	999	999	999	999	18.14089566	999	999	999	18.1049406	999	999	18.18410221	20.05044537	999	999	999	999	999	17.84435442	999	999	999	999	999	999	999	999	999	999	999	25.51173359	999	18.02875357	18.39550095	999	999	999	999	999	999	999	999	999	17.87067867	999	999	17.83284738	16.53502917	999	16.68015166	999	17.86927126	999	999	999	999	999	999	999	16.93096712	999	22.49806969	999	999	999	17.98246178	16.8599933	999	999	999	999	999	999	999	999	999	999	17.17346422	999	17.91276137	18.51656964	999	999	18.27457253	
Rcc1	999	999	14.97661207	999	15.27158173	15.6614389	15.26213126	15.37231048	17.17333284	17.55632185	15.40971603	999	17.18611522	18.7493287	999	15.1250979	14.92349902	999	15.28462474	17.20673306	15.82722396	15.30635486	999	16.64372708	15.16346106	16.59242274	16.99465926	15.66033376	15.48827765	15.08260302	15.53842106	999	15.53999031	15.27704069	999	15.18777092	26.06903015	14.72236816	15.20500449	14.40227557	999	15.63966204	16.78441234	16.16588051	15.37974112	15.56689897	15.51397805	17.65799134	15.82704549	999	16.56923063	17.97635397	18.19850133	999	999	15.13040334	999	999	16.51409882	14.40446115	15.69776721	16.54415306	999	17.55506235	15.9289291	999	999	999	999	15.34797531	16.54534057	15.60462847	16.11938585	17.07291361	14.98465293	19.52704166	17.81983014	15.91876797	15.39948387	15.97584866	15.39558509	17.31405596	16.57723243	23.87795724	15.25030848	17.96927403	17.17199811	25.716997	25.86663526	14.79977409	999	15.7423506	17.62469016	16.26304586	16.4270839	15.7053112	
Rest	18.18553902	12.49877937	12.39613839	17.37427072	12.33500037	12.91891206	11.62852687	12.65456377	13.54811956	11.72066756	12.88253777	18.85456018	12.94929922	12.92661039	999	12.22021385	12.14942281	999	13.02558876	12.79968264	12.99018142	12.28296884	18.45349179	12.54729693	12.40732868	11.9458746	12.72310238	13.23586163	12.28067343	12.50045645	12.19096754	999	11.70887364	13.59826645	24.09798446	12.08956725	23.7718817	12.02125121	11.54926525	11.49023159	21.50943838	13.02489608	11.60097363	13.30097288	12.01377342	11.77426194	11.35515848	12.11761532	12.07294777	26.45083194	11.95199892	12.71409204	22.61431076	23.14343689	999	12.19623641	18.86997421	999	12.27584265	11.58510977	12.17301094	13.27511054	999	13.75830396	12.40686309	999	999	999	999	12.17381842	11.82811279	12.85835426	13.17175379	11.94217614	12.39278427	15.9333725	13.03045581	13.31615083	11.86043554	13.02417083	12.07542785	13.4012843	12.45347038	21.1239389	11.81023126	15.51682783	13.79598677	22.92321692	999	12.4593893	999	12.57779384	12.17389979	13.90230166	13.75900387	12.64254063	
Sall4	18.02001541	14.69914126	13.14776777	18.29227234	13.23034616	12.82083251	11.96792183	13.05976611	13.38219312	12.87419075	13.26105995	999	13.17646908	14.72032334	999	13.03550197	12.41768051	18.05880422	13.99179615	12.84541287	14.31242803	12.8534931	999	14.53438705	13.13228562	13.38710874	13.4687379	14.09916065	12.81800927	14.18190427	12.77634935	999	13.13615605	13.5750149	36.28424947	13.12831749	23.85701208	12.668315	12.07488419	12.05492773	22.30538306	13.78600326	12.92753396	13.93533494	13.20298295	14.0316804	12.58037465	12.86369015	13.30136881	999	14.02549733	14.07459572	25.11335587	999	18.00905877	12.76810416	18.2420389	999	13.76921921	13.77832391	12.73394797	14.53772015	999	14.88854922	13.0111469	999	25.97658944	999	999	13.18761161	14.40691991	13.93178172	14.93877009	13.16298122	12.92504311	999	13.82626198	13.55982136	13.14229788	13.20687447	13.36807076	14.43175412	12.89444473	22.58455126	12.67089377	14.22031558	15.33671754	24.03971699	26.39713905	13.24585663	999	13.45539549	12.96876189	14.78290981	14.73681347	13.54696653	
Setdb1	999	16.63544603	17.63822564	999	16.74211284	17.9680495	16.09116634	16.16602356	18.17322829	16.83404979	17.89736295	999	16.70656862	16.60429033	999	18.38006153	16.12549553	999	17.09511629	17.28089731	17.72956749	16.14785182	999	17.46168408	17.06262303	16.73864517	17.5021715	17.96683741	16.47631921	17.55625813	16.7044937	999	16.43218892	17.91978627	28.53533473	15.78105779	26.61652722	14.96752021	16.6493894	16.04599302	25.63383948	17.7405464	16.49969272	17.29388206	17.01691232	16.56533009	16.64787819	16.90806436	17.74682859	999	17.49507448	16.67839265	20.11279646	27.48951726	999	16.38040596	999	999	16.32628426	16.57994904	16.84338621	17.46508293	999	16.93878974	16.72222337	999	999	999	999	16.85573477	16.47805666	16.39634941	17.52551889	16.5815571	19.03918155	999	17.34731752	18.06093896	16.24074161	16.52910229	16.67940945	18.34651277	16.85359688	24.17225449	16.72428449	16.64304645	17.81729967	26.79558854	999	16.35982521	999	16.16321555	16.81180382	18.2507171	16.97300567	16.89679435	
Smad1	999	17.8372566	16.72118369	999	17.44912162	17.17150287	16.86930119	16.9299636	999	18.05928647	17.82330301	999	16.53788275	15.75614253	999	16.90381916	16.60364335	999	16.52325277	18.80941572	999	16.77344694	999	16.5665625	17.46851685	17.54756322	17.80620789	16.83848328	16.60889501	17.97925903	17.95373321	999	17.55856239	18.90278421	999	16.65745001	999	16.23530838	15.91342867	15.16597574	24.88649682	38.11215265	16.71669941	17.1219548	16.3677811	17.31849148	18.88681948	17.55699903	16.12708415	999	16.79073989	18.80115182	999	27.30897648	999	16.59933813	999	999	999	16.29271991	16.3991159	17.66170014	999	17.8635838	18.64644259	999	999	999	999	15.96713262	18.92043824	17.66329469	17.52232452	15.64610443	16.90980049	999	18.75915914	15.72876572	17.52400972	18.7240439	17.28140834	15.43215294	16.73541257	26.44508754	17.49610466	16.42350438	18.47971809	999	999	16.89762343	999	16.3764468	16.57233114	17.84351136	18.79793324	18.85780853	
Smarca4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Smarcc1	999	13.72312968	14.33545128	999	14.09502501	14.20060711	13.2944052	14.00471984	14.94048659	13.95576811	14.07579639	999	14.15867085	14.34594803	999	13.78047419	13.34735915	999	13.56549771	13.38992678	14.01915973	13.41535798	18.36796222	13.93375284	13.35241187	12.72975612	13.91028859	14.13330145	13.63472929	13.90445744	13.36849777	999	13.29952756	12.86270869	24.19184178	13.56687047	26.67219108	13.43402187	12.99957236	12.67472622	18.75330178	14.33666116	13.66196076	14.09746062	13.80933544	13.58434369	12.98680042	13.72883842	14.87999313	999	13.44271433	14.63922348	19.68143693	24.25189238	999	13.82090991	999	999	13.62471572	14.16560375	13.28050662	13.94651111	999	14.61998867	13.85255907	999	19.16206363	999	999	13.32611115	14.07814872	14.25931089	13.79114054	13.26207155	12.7729819	18.95610213	13.98929298	14.34493249	13.40798694	14.74357315	13.46648628	14.21143519	13.14228148	22.51344262	13.858097	15.44963013	13.8618267	25.26839044	999	13.59527137	999	13.53252347	14.18357157	14.33520302	14.89745167	13.48448085	
Socs3	999	17.85967097	15.25474678	999	16.83743543	16.41242837	16.24941836	15.48390763	16.55338427	999	14.84507146	999	18.76073589	17.85048053	999	15.5966831	15.81354095	999	14.83129463	15.84897094	17.10155902	14.99510319	999	999	15.3824855	15.96273489	15.96574944	15.98604368	15.40564908	17.442145	15.97096785	999	20.23106147	15.77936927	999	16.14590985	999	15.3288897	13.88493709	15.53049641	26.090595	15.94488993	16.1198832	19.26624835	16.5484221	16.4062914	16.65084825	17.12934805	14.65838255	999	16.79106269	14.89257735	24.9905287	999	999	16.18858649	999	999	14.63408798	17.86019868	15.05430103	15.57479276	999	16.40031689	15.08633823	999	999	999	999	15.69970149	16.94915789	15.87538392	15.6447902	15.18213383	15.07173334	999	16.02168303	18.00803699	16.49786892	15.839282	14.67138908	999	15.22283458	999	16.64259533	17.33285148	18.75129131	999	999	16.95904645	999	16.66981342	16.74805219	15.61063548	17.27842449	16.35780707	
Sox1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	29.7311421	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Sox2	999	17.28442411	17.81101625	999	17.23762602	16.48785907	16.20112951	16.22027127	24.32796343	19.00177392	16.54381056	999	15.99049899	999	999	17.99146597	19.267038	999	999	16.94681473	17.94812647	16.18546934	999	999	18.04229146	17.26464768	15.76045971	16.52987089	16.32475093	16.92334852	17.23667494	999	17.5535862	17.94778327	999	18.07709055	999	16.1741141	17.62497992	16.67499032	999	16.49615335	16.41931919	15.7486289	18.75565146	16.44818341	15.70409391	999	18.43618713	999	18.02575068	17.73943271	999	999	999	17.24497107	999	999	999	18.45072259	18.22968583	16.57101673	999	16.62693945	18.41331376	999	999	999	999	999	18.16016294	17.53808121	15.63239954	16.02510793	17.73076016	999	18.00510228	16.04017519	16.8964503	16.90983189	17.46191676	16.99600116	15.99844622	999	17.29122638	18.08085597	18.61169585	999	999	16.34165025	999	999	16.74342186	999	16.44903003	16.01151274	
Stat3	999	15.03947684	13.4879693	999	14.58949329	14.13732343	13.91511874	14.55890496	14.34260623	15.5234025	14.45652703	999	15.10638766	13.88014633	999	13.30721304	14.18479689	17.93741135	13.30502193	13.35977234	15.94624787	13.71368828	999	16.04273228	14.74040268	14.42254788	14.99847268	15.14832887	13.48249927	14.65989958	14.95005967	999	13.7799724	13.36265827	999	14.40168541	25.68013228	14.25060214	13.73893446	12.79509254	17.91460102	15.54391989	13.9022311	14.19067549	13.8710991	14.24170829	12.78416864	14.4801941	13.27598045	999	13.7758615	15.13597506	24.94681402	24.96787062	999	13.52891438	999	999	13.69486522	13.56458219	13.17740982	13.89707889	999	14.19082714	12.7844617	999	999	999	999	13.5744172	14.87328993	15.01065003	13.9153381	13.68972737	12.91470693	17.79074104	16.20091118	14.0365186	13.90934359	14.65458955	13.82855081	16.93705318	13.75517739	23.23599171	13.43747779	14.83642403	15.28244106	24.62093212	999	14.09703338	999	15.21284724	13.85331532	14.64893038	13.97043169	13.47833759	
T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	22.10792696	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Tbx3	999	15.53788662	15.26869994	999	15.6274676	14.39837057	15.19087192	14.41362135	14.81286287	14.94997385	14.94914334	999	18.246109	13.57904108	999	14.0081635	14.21044724	999	14.95264162	14.67376639	14.84635797	14.94214905	999	13.86297724	14.33860608	14.80900897	16.55727378	17.17102852	14.71994214	15.92768729	15.10540526	999	14.13417493	14.84059595	999	13.65970691	24.41476212	14.53119335	14.91452998	14.66581194	23.86179804	15.78575998	14.16903263	15.16696271	14.08864228	14.22625365	14.4888632	14.25591759	14.3859786	999	14.7506483	14.88515	24.56124767	999	999	14.09210183	18.36252592	999	14.22131128	14.55262242	15.27178216	15.53535087	999	14.45433584	14.31216933	999	999	999	999	15.76502125	14.28990576	15.92085747	15.8245051	15.87380731	15.56640912	999	14.63766117	15.01505837	14.00788445	16.12084731	14.62300186	15.48663197	15.3699145	23.58233497	14.23001279	16.71226514	17.75595635	24.67454496	999	15.85723129	999	15.45388446	16.21045709	16.41566796	14.68864381	15.35611904	
Tcf7l1	999	15.50312578	14.27532516	999	14.15160835	13.85129797	12.84783179	12.61879042	15.72453777	12.76067824	14.57528484	999	13.8108608	13.66508956	999	13.45480443	13.98729897	19.10907999	13.802869	13.68025205	14.88790232	13.69414599	999	13.33788726	13.11965067	14.36824733	14.13658777	14.04668249	13.04176332	14.40791447	14.03041941	999	13.90793883	13.14709039	23.52913428	14.29370511	25.15997167	13.03187374	13.18833246	13.16085445	21.82651728	14.50675315	12.65608264	14.17912931	13.91014314	13.2408855	12.80251925	13.8908179	15.22291827	999	13.47791518	14.90286301	23.91083713	17.73226237	999	13.48274011	999	999	13.91896199	13.55687882	13.44374834	15.07024411	999	17.6982663	14.13911351	999	999	999	999	14.37657945	14.38408898	14.3388858	14.69453524	13.80438486	15.29687508	999	14.53545998	13.70696231	12.92601294	15.32834197	13.7684331	14.34480951	14.93488594	23.50017278	13.88095639	14.6561011	15.09843934	24.99423276	999	13.87168096	999	14.51831731	13.4626756	14.1892634	14.5724984	15.15231566	
Tcl1	999	17.668637	999	999	17.89812698	17.23607138	18.41842254	19.16508452	999	999	999	18.42923278	18.02945964	17.5857879	999	999	999	999	15.78606472	999	999	999	999	18.48721654	18.90751696	17.94183944	999	18.71319269	18.38832062	999	18.76569887	999	16.96978698	999	999	18.62170515	999	999	999	16.25906865	25.85473101	18.57072176	17.36737409	16.97634202	999	999	16.8046496	18.7725805	18.59936467	999	18.40500985	999	999	999	18.62888122	999	999	999	999	18.1383019	15.53047888	18.50755366	999	999	999	999	999	999	999	17.64748357	17.21833354	17.73563655	19.48296869	18.45076257	18.83118719	999	999	17.59788332	16.45989603	18.79452683	18.2932792	18.6929176	18.15348532	999	999	18.37850977	999	999	999	999	999	999	17.7313538	999	17.53855828	999	
