,Aff3,Arid1b,Bach1,Bach2,Baz2b,Bcl11a,Cebpa,Cebpe,Clock,Creb5,Crebl2,Crebrf,Dach1,Ebf1,Erg,Ets1,Fosb,Foxn3,Foxo1,Foxo3,Gata1,Gata2,Gata3,Gfi1,Gfi1b,Hivep2,Hivep3,Hlf,Hmga2,Hoxa7,Hoxa9,Hoxb3,Ikzf2,Irf7,Irf8,Irf9,Junb,Klf1,Klf12,Klf2,Klf3,Klf4,Klf6,Mecom,Mef2c,Meis1,Mis18bp1,Mycn,Nfat5,Nfe2,Nfia,Nkx2-3,Parp12,Pbx1,Pgr,Plag1,Plek,Plscr1,Pou2f2,Prdm16,Rel,Rfx3,Rora,Runx1,Runx2,Satb1,Smad7,Sox5,Sox6,Sp4,Spi1,Stat1,Stat4,Tal1,Tcf4,Tcf7l2,Tox,Tsc22d1,Tsc22d3,Zbtb20,Zeb2,Zfhx3,Zfp1,Zfp113,Zfp36l1,Zfp385a,Zfp395,Zfp467,Zfp521,Zfp532,Zfp608,Zfp799,Zfp831,Zfpm1
10,0.0,0.0,0.27597466,0.0,0.0,0.64965695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27597466,0.93855816,0.0,0.0,0.0,0.44379506,0.0,0.0,0.0,0.0,0.0,0.72004384,0.0,0.0,0.0,0.0,0.0,0.64965695,1.0608616,0.0,0.0,0.0,0.0,0.27597466,0.0,0.0,0.0,0.0,0.0,0.0,0.27597466,0.72004384,0.0,0.0,0.27597466,0.0,0.0,0.0,0.44379506,0.27597466,0.0,0.0,0.0,0.0,0.27597466,0.0,0.0,0.27597466,0.0,0.0,0.27597466,0.0,0.0,0.0,0.27597466,0.0,0.0,0.0,0.27597466,0.27597466,0.0,0.0,0.0,0.5610607,0.0,0.27597466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8268718
11,0.0,0.0,0.0,0.0,0.0,0.55974406,0.64829075,0.867632,0.0,0.0,0.0,0.27507383,0.55974406,0.0,0.0,0.0,0.0,0.0,0.0,0.27507383,0.0,0.27507383,0.0,0.64829075,0.0,0.0,0.0,0.44259718,0.0,0.44259718,0.64829075,0.0,0.0,0.0,0.27507383,0.0,0.27507383,0.0,0.0,0.0,0.27507383,0.0,0.27507383,0.0,0.55974406,0.0,0.44259718,0.0,0.0,0.44259718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44259718,0.0,0.0,0.27507383,0.0,0.27507383,0.0,0.27507383,0.0,0.0,0.0,0.0,1.1278678,0.27507383,0.0,0.44259718,0.0,0.0,0.0,0.0,0.55974406,0.0,0.27507383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44259718,0.0,0.0,0.0
12,0.0,0.6916038,0.4811046,0.0,0.30447206,0.30447206,0.6916038,1.0343052,0.0,0.0,0.0,0.0,0.6916038,0.0,0.0,0.0,0.0,0.30447206,0.0,0.30447206,0.0,0.0,0.0,1.1353575,0.0,0.0,0.0,0.0,0.0,0.30447206,0.6017125,0.0,0.0,0.0,0.0,0.0,0.6017125,0.0,0.0,0.0,0.30447206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4811046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8202759,0.0,0.30447206,0.30447206,0.0,0.0,0.30447206,1.1353575,0.0,0.0,0.4811046,0.0,0.0,0.0,0.0,0.6017125,0.0,0.30447206,0.0,0.0,0.0,0.0,0.0,0.4811046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.40077654,0.40077654,0.40077654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40077654,0.0,0.0,0.40077654,0.0,0.0,0.599776,0.88860625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40077654,0.0,0.81828195,0.0,0.40077654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81828195,0.0,0.40077654,0.599776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40077654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40077654,0.0,0.0,0.0,0.81828195,0.0,0.0,0.0,0.40077654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40077654,0.40077654,0.40077654,0.40077654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.5104317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104317,0.0,0.5104317,0.0,0.0,0.0,0.0,0.0,0.0,0.5104317,0.0,0.5104317,0.0,0.0,0.0,0.0,0.0,0.5104317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9422151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2083615,1.0101867,0.0,0.5104317,0.0,0.5104317,0.0,0.0,0.5104317,0.0,0.0,0.0,0.9422151,0.0,0.0,0.0,0.0,0.0,0.0,0.72380424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104317,0.0,0.0,0.0,0.5104317,0.0,0.0,0.5104317,0.0,0.0,0.5104317,0.9422151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85241663
15,0.64970446,0.64970446,0.64970446,0.0,0.869052,0.0,0.0,0.0,0.0,0.0,0.0,0.64970446,0.0,0.0,0.0,0.0,0.0,1.2705816,0.0,0.0,0.0,1.0797793,0.0,0.0,0.64970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64970446,0.64970446,0.0,0.0,0.64970446,1.2355714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869052,0.0,0.0,0.0,1.1436272,0.64970446,0.0,0.0,0.64970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64970446,0.0,0.0,0.0,0.0,0.64970446,0.869052,0.0,0.869052,0.64970446,0.0,0.0,0.64970446,1.0797793,0.64970446,0.869052,0.99434495,0.64970446,0.0,0.64970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869052
16,0.46368843,0.46368843,0.0,0.0,0.6721658,0.46368843,0.8914863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46368843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2889934,0.0,0.46368843,0.0,0.0,0.46368843,0.0,0.0,0.0,0.0,0.46368843,0.0,0.0,0.0,0.0,0.80073327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46368843,0.0,0.0,0.0,0.0,0.6721658,0.0,0.0,0.0,0.0,0.0,0.0,0.8914863,0.0,0.0,0.0,0.46368843,0.0,0.0,0.46368843,0.6721658,0.0,0.46368843,0.0,0.46368843,0.0,0.0,0.0,0.46368843,0.0,0.0,0.0,0.46368843,0.0,0.0,0.0
17,0.0,0.0,0.56992054,0.0,0.37574154,0.56992054,0.6959504,1.1220685,0.0,0.0,0.0,0.0,0.37574154,0.0,0.0,0.0,0.0,0.37574154,0.0,0.56992054,0.37574154,1.0031459,0.0,0.37574154,0.0,0.0,0.0,0.0,0.0,0.7872683,0.37574154,0.0,0.0,0.0,0.37574154,0.0,0.85791206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56992054,0.56992054,0.56992054,0.0,0.0,0.56992054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56992054,0.0,0.37574154,0.0,0.0,0.37574154,0.0,1.1220685,0.0,0.0,0.37574154,0.0,0.0,0.0,0.0,0.0,0.0,0.56992054,0.0,0.37574154,0.0,0.0,0.37574154,0.0,0.0,0.0,0.0,0.56992054,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.923898,0.7050269,0.0,0.0,0.0,0.0,0.923898,0.0,0.0,0.0,0.49325842,0.49325842,0.0,0.49325842,0.0,0.49325842,0.0,0.49325842,0.0,0.0,0.0,0.0,0.0,0.49325842,0.49325842,0.0,0.49325842,0.0,1.046893,0.0,0.7050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49325842,0.0,0.0,0.0,0.7050269,0.0,0.0,0.49325842,0.0,0.0,0.0,0.0,0.0,0.9923123,0.0,0.0,0.0,0.0,0.49325842,0.0,0.0,0.49325842,0.0,0.0,0.0,1.046893,0.0,0.0,0.0,0.49325842,0.0,0.0,0.49325842,0.0,0.0,0.49325842,0.0,0.0,0.49325842,0.0,0.0,0.0,0.0,0.0,0.0,0.49325842,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.505919,0.718891,0.0,0.0,0.0,0.0,0.0,0.0,0.505919,0.0,0.0,0.0,0.718891,0.505919,0.0,0.0,0.8475306,0.718891,0.0,0.0,0.505919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718891,0.0,0.0,0.505919,0.0,0.718891,0.0,1.1753714,0.8475306,0.8475306,0.8475306,0.0,0.718891,0.0,0.505919,0.0,0.0,0.0,0.0,0.8475306,0.0,0.0,0.505919,0.0,0.0,0.0,0.718891,0.0,0.0,0.505919,0.0,0.0,0.0,0.8475306,0.0,0.0,0.505919,0.718891,0.0,0.0,1.0597934,0.0,0.8475306,0.0,0.0,0.0,0.0,0.505919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718891
20,0.0,0.0,0.0,0.0,0.0,0.0,0.67718554,0.96548855,0.0,0.0,0.0,0.4681651,0.4681651,0.0,0.0,0.0,0.0,0.4681651,0.0,0.0,0.0,0.0,0.0,1.0206721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80579054,0.0,0.0,0.0,0.0,0.0,0.4681651,0.0,0.0,0.0,0.0,0.0,0.80579054,0.89646804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4681651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1942353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67718554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
