Gene,gamma,beta,offset,a,t,h,intercept
Arhgdib,0.019777725,48.012848,0.0,1.0,0.5,47.948868,0.0
Arhgef12,25.48898,14.539415,-0.07080758,2.1832745,-0.45971495,1.4335434,0.07893724
Arhgef2,35.32021,95.463684,-0.014432677,5.866237,0.34503087,1.4793643,0.11637147
Arhgef28,1.143481,0.8477354,0.0,1.0,0.5,0.47752625,0.0
Arhgef40,8.441251,10.545936,-0.09603991,0.47925478,-1.2289778,0.8384432,0.02859819
Arid1a,0.456059,2.4206266,0.0,1.0,0.5,3.6309037,0.0
Arid1b,3.6301463,0.3675163,0.0,1.0,0.5,2.6607256,0.0
Arid2,1.5682155,0.90810126,0.0,1.0,0.5,1.3453298,0.0
Arid4a,0.47041446,2.1665452,0.0,1.0,0.5,2.9467933,0.0
Arid4b,1.0251243,1.3163003,0.0,1.0,0.5,2.8424664,0.0
Arid5b,1.0378139,4.9530334,-0.24724622,0.03831933,-1.6350641,0.6714466,0.8014235
Arl13b,0.24627991,2.6058412,0.0,1.0,0.5,0.9508778,0.0
Arl5c,12.278549,107.4431,-0.3310407,0.248972,2.095225,0.7608199,-0.0063607832
Arl6ip1,0.35242388,33.039207,-0.6713874,0.03110824,1.5666069,8.659936,0.08521609
Armc3,0.101346344,5.839456,0.0,1.0,0.5,1.1131042,0.0
Armc6,0.15557775,131.85654,-0.3436328,1.7131808,0.50687206,0.50769514,0.022795668
Armc8,1.4303868,0.8328547,0.0,1.0,0.5,0.73456544,0.0
Armcx1,0.45106027,1.960909,0.0,1.0,0.5,1.1693575,0.0
Arpp21,0.36880216,0.8968941,-0.55763626,0.21970296,-0.23028173,0.67576116,0.2859576
Arrb1,0.2954406,2.7948012,0.0,1.0,0.5,1.2765981,0.0
Arrdc3,0.9359662,1.0192523,0.0,1.0,0.5,0.5486364,0.0
Arrdc4,0.33817655,1.9475043,0.0,1.0,0.5,0.81009823,0.0
Arsk,0.38059103,2.034042,0.0,1.0,0.5,0.9623438,0.0
Asb13,6.5618544,12.039609,-0.040431615,0.63696045,-1.0228386,0.8551771,-0.0033801843
Asf1b,7.091421,79.60208,-0.6825986,4.25664,0.73556805,1.7992593,-0.050242856
Ash1l,0.8762086,2.344549,0.0,1.0,0.5,3.410317,0.0
Asns,0.008129267,121.27357,0.10215742,0.78287226,2.162251,2.119502,0.009753474
Aspm,0.022494968,29.542953,0.2089442,2.9215667,2.3905852,1.6103204,0.025145859
Ass1,46.86367,1383.4978,-0.3606527,10.218818,0.66736364,3.8091793,-0.026547523
Atad2,18.441107,31.143663,-0.7911583,1.984854,0.8030052,2.5080767,-0.35434386
Atat1,13.417255,23.350807,-0.13451743,0.387276,-1.1705383,0.90173376,0.006309415
Atf2,1.5352601,0.8877563,0.0,1.0,0.5,1.3090256,0.0
Atf7ip,1.2323798,1.0034302,0.0,1.0,0.5,1.7996278,0.0
Atg16l2,2.0105286,0.5127045,0.0,1.0,0.5,0.602563,0.0
Atg2a,0.54355127,1.3742515,0.0,1.0,0.5,0.7988187,0.0
Atl2,0.6840832,1.3296937,0.0,1.0,0.5,1.0510753,0.0
Atp13a2,89.90723,3174.596,-0.56204444,6.459819,0.41998312,1.7384592,-0.0023011467
Atp13a3,17.736917,6.0503206,-0.6211384,3.806221,0.6427795,1.335314,-0.8989545
Atp2b4,6.116551,11.088092,0.04118102,6.86677,0.1708976,1.7247866,0.4712044
Atp6ap2,0.09242591,12.842723,0.0,1.0,0.5,7.305567,0.0
Atp6v0a1,0.32660103,1.4465598,-0.53074664,0.08753453,-0.6533754,0.7382636,0.40797204
Atp8a1,3.0678778,0.29711062,0.0,1.0,0.5,1.4908072,0.0
Atp8b1,2.1134963,6.1924047,-0.15501632,0.16321741,2.5053673,0.30987972,0.0028847884
Atp8b4,3.0321517,0.3239235,0.0,1.0,0.5,4.4003906,0.0
Atpif1,0.021342082,37.79,0.0,1.0,0.5,40.355625,0.0
Atrx,0.89984685,1.757946,0.0,1.0,0.5,3.4497416,0.0
Atxn1,6.968652,0.19678153,0.0,1.0,0.5,1.1597517,0.0
Atxn7l3,0.022691632,9.164431,0.0,1.0,0.5,1.0002545,0.0
Aurka,0.030938232,19.572138,0.06857195,0.6079246,2.1573,1.7674325,0.0087671885
Aurkb,0.056167193,61.687687,-0.5902433,0.05228429,1.7132272,1.4439886,0.036988974
Auts2,9.854245,0.07622581,0.0,1.0,0.5,1.1513505,0.0
Avl9,0.87283295,1.1390413,0.0,1.0,0.5,0.8534472,0.0
B230369F24Rik,0.64139175,1.1696999,0.0,1.0,0.5,0.55313784,0.0
B2m,0.009325128,51.076218,0.0,1.0,0.5,62.65251,0.0
B4galnt1,26.719769,1400.5059,0.57264,43.687267,0.79351884,3.183054,0.003541162
B4galt6,6.5343075,23.431969,0.14875528,75.469284,0.9013154,3.4530482,0.012006444
B9d2,67.92378,1619.284,-0.64773804,4.0690517,0.48139155,2.404387,-0.018715201
BC035044,3.670126,14.98962,0.29605347,8.8075905,0.86327094,3.8380754,-0.29872248
BC037034,0.01502453,24.513294,0.0,1.0,0.5,3.0580814,0.0
BC051142,20.226692,18.482372,-0.049859036,0.2543783,-1.7315052,0.32725257,0.010621053
Bach1,0.5062576,1.7737156,0.0,1.0,0.5,0.9478585,0.0
Bach2,5.4531465,0.17108269,0.0,1.0,0.5,0.8495205,0.0
Bahcc1,1.0311927,1.0258374,0.0,1.0,0.5,0.8365421,0.0
Basp1,35.26513,380.60376,-0.15801705,8.600405,0.19311582,2.0255318,0.020167788
Baz1a,18.805202,32.409893,1.2226874,11.793804,1.1060128,11.885585,-0.17331964
Baz2b,3.393651,0.51678926,0.0,1.0,0.5,1.9425212,0.0
Bbx,0.878763,1.4256939,0.0,1.0,0.5,2.4317818,0.0
Bcl11a,65.23392,76.93592,-1.1990162,4.998843,0.3803945,3.1919837,0.31863323
Bcl2,67.45068,36.05543,-0.90901935,5.1191607,0.52092975,1.8676517,0.22471909
Bcl2l1,8.218613,17.031189,-0.106358044,0.4411431,-1.0909128,0.91717017,0.037861656
Bcl9l,8.947439,51.83643,-0.0056421,3.4392138,-0.20409471,1.5090646,0.0060249306
Bex4,0.0119976755,53.642693,0.0,1.0,0.5,5.7491136,0.0
Bex6,5.121354,179.94037,-0.17860885,0.43376762,1.8880984,2.6303153,-0.010610748
Bfsp2,44.330013,171.53969,-0.4925505,2.1559231,0.5027727,0.60421044,-0.004069597
Bicd1,15.6874275,6.235557,-0.16393594,0.6184838,-0.9864434,1.342947,0.06187827
Bin1,4.203095,46.570263,-0.9923215,2.5181067,0.72243017,2.6803668,-0.10258041
Bin2,14.692062,134.53232,0.41545603,6.5026727,0.20627941,4.1877103,0.098182395
Birc5,0.014193325,54.674255,0.0,1.0,0.5,13.246365,0.0
Blnk,0.09620224,2.7841268,-0.43027255,0.06263977,2.035383,0.5401911,0.004320571
Blvrb,0.0071924264,215.28375,2.0566561,0.9179909,2.3657708,16.58452,0.14179598
Bmp2k,1.2353777,7.606715,-0.6104065,0.35865712,-0.4881101,1.6455843,0.32246023
Bmpr2,30.065868,27.449776,-0.035131555,2.1922703,-0.43790427,2.0655463,0.11624954
Bpifc,92.60871,616.9168,-0.39927146,4.111501,0.51730305,0.54870707,0.0009708296
Bptf,0.40335363,3.3180032,0.0,1.0,0.5,3.443309,0.0
Brpf3,0.64934045,1.0697215,0.0,1.0,0.5,0.6696481,0.0
Bst2,0.23811504,105.46563,-0.64624536,0.24506031,-0.38940644,5.452218,0.066641994
Btbd7,0.7762655,1.4435127,0.0,1.0,0.5,1.3976074,0.0
Btg1,0.021611728,41.073475,-0.49326798,0.020581229,1.6800258,1.4708169,0.027630322
Btg2,0.11463261,7.7434974,0.0,1.0,0.5,4.351846,0.0
Bub1,3.6688416,8.888795,-0.6535481,0.78306335,1.0683118,1.2548552,-0.15081367
Bub1b,0.15026793,13.627296,-0.5540237,0.08667248,1.7826308,1.0453627,0.102096654
Bub3,0.0058460208,57.055195,0.0,1.0,0.5,9.131004,0.0
C1galt1,0.57715935,11.74594,-0.7528049,0.9367663,0.36918435,1.2076751,0.19115873
C1galt1c1,0.19514401,25.418537,0.5105951,1.8382915,-1.360541,1.9481267,0.05171501
C1rl,14.103162,13.18328,0.052000564,15.5426655,0.008725874,1.1507192,-0.023136627
C530008M17Rik,4.541116,0.19793406,0.0,1.0,0.5,0.7581929,0.0
C920006O11Rik,0.44464332,1.8142663,0.0,1.0,0.5,0.75407827,0.0
Cacna1a,0.23466563,2.437099,0.0,1.0,0.5,1.1574094,0.0
Cacna1e,0.81199366,0.4557837,0.0,1.0,0.5,0.4690756,0.0
Cacnb2,22.373121,0.046837408,0.0,1.0,0.5,0.51031244,0.0
Cadps2,3.5021966,0.2513397,0.0,1.0,0.5,0.59774786,0.0
Calcrl,6.9189057,2.5524073,-0.4517417,1.2844559,-0.269471,1.8639023,0.73544604
Calr,0.0067446907,112.97862,0.0,1.0,0.5,46.307755,0.0
Camk1d,4.431042,0.20445316,0.0,1.0,0.5,0.97092265,0.0
Camk2a,8.124608,12.220224,-0.07134527,0.33514804,-1.3709077,0.6854724,0.010052344
Camk2d,11.274065,3.746101,-0.0038729056,4.456613,-0.113259,0.9168262,0.15459825
Camkmt,8.920174,0.1503101,0.0,1.0,0.5,0.2590463,0.0
Camta2,0.23983142,2.4789445,0.0,1.0,0.5,0.53756505,0.0
Capg,0.017335566,19.177025,0.0,1.0,0.5,3.484649,0.0
Capn2,0.28322512,2.0738053,0.0,1.0,0.5,0.56076,0.0
Car1,0.01845465,44.1904,0.1702331,0.6177091,2.217214,54.072346,0.5940848
Car2,0.006571191,535.73956,7.1382747,0.50422204,2.9886868,26.947395,0.6668117
Card19,6.7886667,294.6331,0.64910454,15.823273,0.24190328,2.1712437,0.00097300945
Casc4,15.359135,31.919472,-0.22869083,0.615392,-0.8597392,1.621719,0.016974151
Casd1,0.7330305,1.3274515,0.0,1.0,0.5,1.5274485,0.0
Cask,5.198349,0.16996531,0.0,1.0,0.5,0.5772213,0.0
Casp12,46.36285,228.32948,-0.025023034,7.780475,-0.033403784,1.201896,0.0060716937
Casp3,1.2239683,3.225612,-0.48475257,0.15228558,1.8344402,1.3213689,-0.12234512
Casp4,4.1298127,4.514355,0.045352466,1.3188682,-0.7035368,1.2670068,0.106334805
Cast,3.6355615,15.218291,-0.013393876,0.30413747,-1.202114,1.8280442,0.17458436
Cbfa2t3,46.792038,325.44034,-1.618288,7.1838737,0.38112992,5.588126,0.21625596
Cbx5,181.50313,379.05066,-0.70303065,5.35591,0.5797831,3.2968974,-0.23424791
Cc2d2a,12.856198,20.903181,0.019273624,3.3012724,-0.42513272,0.9459474,0.002164371
Ccdc112,23.484262,119.28904,-0.015661372,6.0746894,-0.13089356,2.8956268,0.015793798
Ccdc15,1.9375793,0.5606753,0.0,1.0,0.5,0.77996266,0.0
Ccdc171,11.2231655,7.5373387,-0.4238934,0.79249597,-0.13859037,0.8746019,0.4422612
Ccdc173,1.0315022,0.91529775,0.0,1.0,0.5,0.60417044,0.0
Ccdc186,0.4736803,1.6226134,0.0,1.0,0.5,0.82898706,0.0
Ccdc191,0.775387,1.2941748,0.0,1.0,0.5,1.1649393,0.0
Ccdc28a,0.22658321,2.9113154,0.0,1.0,0.5,0.98595935,0.0
Ccdc77,0.6538732,1.67845,0.0,1.0,0.5,1.2021016,0.0
Ccdc82,0.48683327,1.7237583,0.0,1.0,0.5,0.9940729,0.0
Ccdc84,0.15992959,2.848874,0.0,1.0,0.5,0.7524069,0.0
Ccdc88a,0.80927455,1.312971,0.0,1.0,0.5,1.9206296,0.0
Ccdc91,0.38425517,2.141862,0.0,1.0,0.5,1.264372,0.0
Ccl3,1.903199,53.0041,0.089181215,1.0948001,-1.0394622,2.1346714,0.014183759
Ccl4,0.057615336,13.13711,0.34921473,4.2199736,2.3116243,2.4763858,0.13468729
Ccl5,0.004899605,126.51199,0.0,1.0,0.5,15.63985,0.0
Ccl9,0.059724715,90.55922,-0.33086553,2.5089698,1.1189047,3.2346618,-0.021757258
Ccna2,0.0080638975,75.93672,0.0,1.0,0.5,5.495194,0.0
Ccnb1,0.013087257,53.878334,0.21194586,0.7203698,2.1745176,2.5000796,0.013902715
Ccnb2,0.011162472,89.33508,0.5339376,0.74374324,2.0733223,6.1789865,0.05213669
Ccnd2,13.682139,355.3026,0.059507802,1.2677944,-0.41559088,8.079047,0.13276051
Ccnd3,0.535529,0.6948929,0.0,1.0,0.5,5.5156136,0.0
Ccne1,0.023043402,24.712236,-0.11697362,1.0160539,1.9085078,2.4386022,-0.020870566
